feature,pos,neg,neutral
auto,0,1,2
af system,0,1,2
shutter speed,0,0,4
iso,6,1,12
software,0,1,3
movie,0,0,1
lcd display,1,0,0
customer service,0,0,2
screen,1,1,3
focus,0,1,5
body,1,1,13
battery pack,0,0,1
resolution,2,0,4
photos,1,1,2
mode,0,1,0
battery life,1,0,0
features,2,1,5
view,0,0,3
price,1,1,18
function,0,0,1
noise reduction,0,0,1
focal length,0,0,1
neck strap,0,0,1
pics,0,0,1
build quality,4,0,1
menu system,1,0,0
case,1,0,3
settings,0,0,3
image,0,2,6
higher resolution,2,0,1
lenses,7,1,27
autofocus system,2,0,1
zoom lens,0,0,2
professional photographer,0,0,1
af,6,0,12
image sensor,0,0,1
lens hood,0,0,1
video capability,1,0,0
image quality,2,0,9
size,1,0,2
exposure,0,0,2
light,4,0,6
battery grip,1,0,7
sensor,3,0,12
shots,2,0,4
auto iso,0,0,1
flash,0,0,9
auto focus,1,0,3
color,1,0,1
video,1,0,8
lens,6,2,30
lcd,3,0,2
battery,0,0,2
pictures,7,0,7
frame rate,1,0,1
zoom range,1,0,1
noise,5,1,7
viewfinder,2,0,5
lens cap,0,0,1
video recording,0,0,1
hd video,2,0,4
wide angle,0,0,4
light settings,1,0,0
shutter,1,2,1
movie mode,0,0,4
zoom,2,0,2
image stabilization,0,0,1
autofocus,1,0,2
video capture,0,0,1
money,2,0,2
focus point,1,0,0
iso range,1,0,2
dslr,0,0,5
kit lens,3,1,4
light weight,0,0,1
