feature,pos,neg,neutral
macro shots,2,1,0
auto,0,0,3
shutter speed,0,0,4
af system,1,0,0
iso,1,2,15
movie,0,1,0
software,1,0,0
action shots,0,0,1
customer service,1,0,1
lcd display,1,0,0
focus,5,0,23
screen,2,0,5
lcd screen,0,0,1
body,2,0,7
photos,5,1,12
resolution,2,0,0
battery pack,1,0,0
mode,4,0,8
features,3,0,6
view,0,1,8
price,2,1,5
function,1,0,0
noise reduction,1,0,1
options,2,1,2
manual settings,0,1,0
focus mode,0,0,1
neck strap,0,0,1
case,1,1,3
build quality,2,0,0
settings,1,0,5
shutter button,1,1,1
image,1,1,7
lenses,5,1,10
zoom lens,0,0,2
af,0,1,2
view screen,0,0,1
image quality,1,0,3
size,0,1,2
exposure,1,0,2
hd movie,1,0,0
light,1,1,5
battery grip,0,0,4
sensor,4,0,5
shutter lag,0,0,1
shots,2,0,3
auto iso,0,0,1
video mode,0,0,1
card,0,1,5
flash,2,0,11
color,2,0,4
external flash,0,0,1
auto focus,0,0,1
wireless flash,0,0,3
video,9,1,27
lcd,4,0,3
lens,4,3,24
pictures,2,1,10
button,0,0,7
frame rate,0,0,1
firmware update,0,0,1
editing software,0,0,1
noise,0,2,7
macro mode,0,0,1
viewfinder,3,1,9
automatic mode,0,0,1
lens cap,0,0,1
memory card,0,0,2
iso settings,0,0,2
aspect ratio,0,0,1
exposure compensation,0,0,1
video recording,3,0,0
wide angle,0,1,1
hd video,1,0,5
shutter,0,1,0
movie mode,2,0,0
zoom,1,2,9
price range,0,0,1
image stabilization,3,0,1
autofocus,0,2,6
menu,0,0,4
amateur photographer,0,0,2
white balance,0,0,2
money,3,0,9
focus point,0,0,2
dslr,1,0,6
kit lens,7,1,1
