feature,pos,neg,neutral
light situations,1,0,0
shutter speed,1,1,4
software,7,4,13
movie,4,0,8
indoor pictures,2,1,2
lcd display,0,0,3
focus,1,0,2
lcd screen,0,0,2
resolution,2,2,13
video clips,0,0,1
quality pictures,0,0,1
card reader,0,0,1
price,11,2,5
options,2,0,7
noise reduction,0,6,4
focal length,0,0,1
pics,0,0,4
case,0,0,11
shutter button,0,0,1
lenses,0,1,3
professional photographer,0,0,2
af,0,0,4
screen protector,0,0,3
image sensor,0,0,2
size,4,0,13
exposure,1,0,7
hd movie,1,0,1
light,20,11,32
shots,11,0,31
light capability,1,0,0
card,1,1,8
light shots,1,0,0
video mode,4,0,3
flash,9,3,23
scene mode,0,0,1
light photos,1,0,0
auto focus,1,0,0
battery charger,0,0,2
battery,2,2,13
pictures,24,6,44
price point,0,0,4
editing software,0,0,1
noise,2,3,10
macro mode,0,0,1
battery door,0,0,3
burst mode,2,0,7
panorama mode,1,0,3
video recording,0,0,4
wide angle,3,1,4
shutter,1,1,9
video quality,4,0,4
price range,1,0,1
indoor shots,1,0,0
image stabilization,1,0,4
night shots,3,2,1
menu,1,0,1
angle lens,0,0,2
dslr,3,0,19
sd card,1,0,1
manual control,0,0,2
auto,3,1,13
iso,6,0,11
automatic settings,1,0,0
action shots,4,0,0
customer service,0,1,5
screen,0,1,3
body,2,0,4
photos,11,10,34
mode,17,7,40
battery life,1,1,5
features,16,2,32
view,1,0,6
spare battery,0,0,2
function,6,1,4
manual settings,1,0,1
light conditions,1,0,1
shutter priority,0,0,1
menu system,2,0,0
build quality,1,0,0
settings,3,3,19
image,2,3,12
video capability,1,0,0
image quality,8,4,6
sdhc card,0,0,1
sensor,2,2,9
touch screen,0,0,1
memory stick,0,0,2
manual mode,0,0,5
color,7,5,7
video,16,8,48
lens,5,2,14
lcd,1,0,5
button,4,1,7
quality image,1,0,0
outdoor shots,1,1,0
zoom range,0,0,2
program mode,0,0,1
viewfinder,0,0,1
memory card,3,0,5
hd video,2,0,9
indoor photos,1,0,0
zoom,15,2,26
movie mode,1,0,1
white balance,1,2,7
money,3,0,7
hd camcorder,1,0,2
quality video,0,0,1
optical zoom,2,0,7
auto mode,2,0,5
light pictures,1,0,1
