feature,pos,neg,neutral
shutter speed,1,0,1
software,0,1,3
movie,0,0,1
lcd display,0,0,1
view finder,0,0,1
focus,3,4,12
lower light,0,1,0
lcd screen,3,1,2
resolution,0,0,3
price,3,1,19
kit lenses,2,1,0
noise reduction,0,0,2
options,0,0,3
focal length,0,1,0
film slr,0,0,2
pics,0,1,3
case,0,0,1
shutter button,0,1,1
lenses,6,3,15
zoom lens,3,0,5
professional photographer,0,0,3
af,2,3,1
screen protector,0,0,1
lens hood,0,1,1
priority mode,0,0,1
exposure,2,0,6
size,0,0,8
quality photos,1,0,0
light,6,2,17
battery grip,0,0,1
shots,7,1,18
light capability,1,0,1
auto iso,0,0,1
card,1,2,10
video mode,2,1,7
flash,4,1,12
auto focus,0,0,2
battery,1,0,14
pictures,22,1,15
price point,0,1,1
firmware update,0,0,1
noise,2,4,11
battery door,1,2,0
panorama mode,0,0,1
video recording,0,2,1
wide angle,0,0,1
shutter,2,1,4
price range,0,0,3
image stabilization,0,0,1
menu,1,0,2
lcd monitor,0,0,1
dslr,5,0,24
kit lens,2,6,17
light weight,2,0,0
sd card,2,0,3
manual control,0,0,1
second battery,0,0,1
auto,0,0,10
iso,8,2,11
automatic settings,0,0,1
action shots,1,0,2
customer service,0,0,2
screen,3,2,7
body,3,0,13
photos,7,4,11
battery pack,0,0,2
mode,1,1,8
battery life,1,0,2
features,3,0,11
view,1,0,3
function,2,0,3
manual settings,1,0,1
light conditions,0,0,1
build quality,1,0,2
menu system,0,1,1
user manual,1,0,0
settings,4,1,8
image,1,1,8
video capability,0,0,3
image quality,3,1,3
prime lens,1,0,1
sdhc card,0,0,4
sensor,5,5,10
manual mode,0,0,1
color,1,0,6
external flash,1,0,0
video,22,6,56
lcd,4,0,10
lens,20,10,41
button,4,0,7
zoom range,0,0,2
viewfinder,1,1,4
memory card,0,0,2
aspect ratio,0,0,1
exposure compensation,0,0,1
hd video,1,0,6
zoom,2,4,8
movie mode,0,0,1
autofocus,0,4,8
white balance,0,1,2
video capture,1,1,0
money,5,1,8
entry level,1,0,2
telephoto lens,0,0,1
quality video,3,0,1
auto mode,0,0,2
