feature,pos,neg,neutral
light situations,1,0,1
manual focus,1,0,2
shutter speed,3,2,13
software,5,2,8
movie,1,0,9
indoor pictures,1,0,1
lcd display,0,0,1
view finder,0,1,2
focus,3,3,34
lower light,0,0,1
lcd screen,1,0,10
focus ring,0,0,1
resolution,1,2,4
video clips,1,0,2
quality pictures,1,1,2
price,6,2,20
options,6,1,12
noise reduction,1,0,1
focal length,0,0,6
neck strap,0,0,2
pics,4,2,11
case,1,2,26
shutter button,0,0,8
lenses,1,0,14
zoom lens,1,1,2
professional photographer,1,0,2
af,1,1,6
screen protector,0,0,5
image sensor,0,0,1
video shoot,0,0,1
shoot mode,0,1,0
priority mode,0,0,2
exposure,6,0,31
size,19,5,42
quality photos,0,0,1
hd movie,2,0,0
light,33,6,59
wrist strap,1,2,2
shutter lag,0,0,2
shots,29,4,40
light capability,3,0,1
auto iso,0,3,0
video mode,2,1,4
light shots,3,0,2
sensor size,1,0,3
card,1,0,1
flash,12,15,85
scene mode,0,0,2
light photos,1,0,2
auto focus,1,0,2
battery charger,0,0,1
battery,3,3,20
pictures,34,12,39
price point,0,0,4
firmware update,0,0,2
noise,3,3,17
macro mode,1,0,1
automatic mode,1,0,2
lens cap,0,0,2
optical viewfinder,1,0,1
wide angle,6,0,9
video recording,0,1,0
shutter,2,2,4
video quality,4,0,3
image stabilization,1,0,2
price range,0,0,3
night shots,1,0,0
menu,3,3,17
angle lens,0,0,2
dslr,12,4,53
light weight,2,0,0
manual control,3,0,8
sd card,0,0,1
articulating screen,1,0,0
second battery,0,0,1
auto,4,2,20
iso,13,10,33
customer service,2,0,2
screen,7,4,19
body,2,1,14
photos,23,6,38
battery pack,0,0,1
mode,12,1,43
battery life,3,4,8
features,16,0,23
shutter release,0,0,1
view,1,1,6
spare battery,1,0,1
function,3,1,12
manual settings,0,0,1
light conditions,3,1,3
shutter priority,0,0,1
build quality,3,1,3
menu system,0,0,2
user manual,0,0,1
settings,5,4,21
image,12,0,13
image quality,29,2,27
sensor,10,2,40
touch screen,0,0,2
manual mode,3,1,7
external flash,1,0,1
color,9,0,15
wireless flash,0,0,1
video,19,11,60
lcd,1,4,12
lens,33,12,57
button,5,1,28
outdoor shots,0,0,1
frame rate,1,0,1
zoom range,1,0,3
program mode,0,0,1
control ring,4,1,14
viewfinder,3,2,5
memory card,0,0,5
iso settings,0,0,2
exposure compensation,0,0,5
hd video,7,0,19
indoor photos,0,0,3
zoom,6,8,44
movie mode,4,0,5
autofocus,0,0,8
amateur photographer,0,0,2
lens error,0,0,6
white balance,1,1,11
video capture,1,0,0
money,1,0,8
hd camcorder,3,0,0
optical zoom,0,0,5
auto mode,3,2,9
light pictures,3,1,0
