feature,pos,neg,neutral
manual focus,1,0,2
auto,2,1,1
shutter speed,1,0,0
iso,3,2,9
software,1,0,1
action shots,1,0,0
view finder,0,1,0
focus,4,2,10
screen,2,0,8
lower light,0,0,1
body,4,0,4
photos,9,1,8
resolution,1,0,1
mode,3,3,6
battery life,1,0,2
features,7,1,5
view,1,0,2
card reader,1,1,1
price,0,0,12
function,0,0,2
kit lenses,0,1,1
options,1,1,0
light conditions,0,1,1
focal length,0,0,1
pics,1,0,0
case,1,1,1
build quality,1,0,1
image,2,1,1
settings,2,0,1
lenses,2,1,11
autofocus system,1,0,1
af,1,0,2
lens hood,0,2,1
video capability,1,0,1
shoot mode,0,0,1
image quality,4,0,0
size,2,0,1
exposure,1,1,0
light,3,2,1
sensor,2,1,6
shots,7,1,4
video mode,1,2,3
card,0,0,2
flash,3,0,6
quick shots,0,0,1
auto focus,2,1,3
color,3,0,0
wireless flash,1,1,2
video,15,3,21
lcd,1,0,3
lens,8,5,31
battery,0,2,3
pictures,15,3,9
price point,2,0,1
button,1,2,6
quality image,0,0,1
zoom range,1,0,0
program mode,0,0,1
swivel screen,1,0,2
noise,1,2,8
macro mode,0,0,1
viewfinder,2,0,6
lens cap,0,0,1
burst mode,1,1,0
memory card,0,0,2
iso settings,0,0,2
card slot,0,1,1
wide angle,0,1,2
shutter,1,1,0
video quality,1,0,1
zoom,0,1,1
movie mode,0,0,2
image stabilization,1,0,0
autofocus,1,0,5
menu,1,0,2
angle lens,0,0,1
white balance,1,0,1
money,2,0,2
focus point,1,0,1
iso range,0,0,1
dslr,3,0,11
kit lens,2,0,1
sd card,1,1,3
articulating screen,1,0,2
