feature,pos,neg,neutral
second battery,0,0,1
auto,1,1,3
af system,4,0,1
iso,5,0,13
software,0,0,3
movie,2,0,0
action shots,0,0,1
lcd display,2,0,0
view finder,0,0,2
screen,7,2,16
focus,2,5,11
lower light,0,0,1
lcd screen,5,0,11
body,9,5,35
photos,15,0,13
resolution,1,0,4
mode,4,2,13
battery life,0,0,5
features,16,4,22
view,1,1,10
shutter release,0,0,1
card reader,1,1,0
price,3,1,15
function,1,0,6
kit lenses,0,1,0
options,2,0,3
shutter priority,0,0,1
pics,0,0,3
case,2,2,0
build quality,1,1,0
menu system,1,0,0
settings,3,1,17
image,3,0,4
lenses,6,0,22
autofocus system,0,1,4
professional photographer,0,0,1
af,3,2,7
screen protector,0,0,2
image sensor,1,0,1
video capability,1,0,1
image quality,11,1,9
exposure,2,0,5
size,3,0,9
light,2,0,10
battery grip,0,1,0
sensor,0,0,12
shutter lag,0,0,1
shots,13,0,15
card,0,0,3
video mode,1,0,5
light shots,0,0,1
flash,4,2,11
color,2,0,1
auto focus,1,0,4
external flash,1,0,0
wireless flash,1,1,3
video,17,0,33
lcd,1,0,2
battery,5,0,9
lens,13,3,26
price point,3,0,4
pictures,16,3,12
button,3,0,8
af point,0,0,1
swivel screen,3,0,1
noise,2,0,3
viewfinder,3,0,8
memory card,0,1,0
focus system,0,0,2
iso settings,0,0,3
aspect ratio,0,0,1
card slot,0,0,2
hd video,2,0,4
video recording,2,0,0
light settings,0,0,1
shutter,1,0,7
video features,1,0,0
video quality,0,0,1
zoom,1,0,10
movie mode,0,0,3
image stabilization,1,0,0
menu,2,0,5
autofocus,4,1,6
usb cable,0,0,1
user interface,0,0,1
amateur photographer,0,0,2
video capture,1,0,0
lcd monitor,2,0,7
money,5,3,14
entry level,0,0,3
dslr,6,4,20
kit lens,0,0,5
light weight,0,0,1
sd card,0,1,3
articulating screen,2,0,8
