feature,pos,neg,neutral
light situations,1,0,0
macro shots,1,0,0
auto,0,0,4
shutter speed,2,0,1
iso,0,1,0
software,0,0,1
action shots,1,0,1
lcd display,1,0,0
view finder,0,0,2
screen,1,1,4
focus,1,1,6
lcd screen,0,1,1
photos,1,0,9
resolution,1,0,1
video clips,0,0,2
mode,5,3,14
battery life,1,1,0
features,2,1,4
price,4,0,0
function,1,1,1
manual settings,1,0,1
pics,1,0,2
build quality,1,0,0
menu system,0,0,1
user manual,0,0,2
image,1,0,4
settings,1,0,9
shutter button,1,1,1
lenses,0,1,0
image sensor,0,0,1
image quality,3,0,0
exposure,3,0,4
light,5,0,8
sensor,1,0,1
shots,5,4,16
card,0,0,1
flash,3,2,3
color,5,1,6
auto focus,0,0,1
video,2,0,11
lens,4,1,5
lcd,2,0,3
battery,0,0,1
price point,0,0,1
pictures,7,2,11
button,1,0,6
firmware update,1,0,2
zoom range,0,0,1
noise,0,1,1
viewfinder,0,0,2
memory card,0,0,6
wide angle,1,0,0
shutter,0,0,3
video quality,1,0,0
zoom,7,0,11
image stabilization,3,0,0
indoor shots,0,1,0
menu,1,1,3
white balance,2,0,1
money,1,0,3
telephoto lens,1,0,0
dslr,2,0,2
auto mode,0,0,2
