feature,pos,neg,neutral
auto,1,1,0
shutter speed,0,1,1
movie,1,0,0
software,1,0,3
color,1,0,0
action shots,0,1,0
focus,1,2,2
screen,0,2,1
lcd screen,0,0,2
video,1,2,4
body,0,0,1
lens,0,1,5
photos,1,3,4
resolution,2,0,1
pictures,6,1,7
quality pictures,0,0,1
button,0,1,2
mode,1,0,2
features,1,0,0
view,0,0,1
zoom range,0,0,1
price,1,0,1
function,1,2,1
noise,0,0,3
options,1,0,0
battery door,0,1,1
memory card,0,0,3
case,0,0,2
settings,0,2,2
image,0,3,3
wide angle,0,0,1
hd video,0,0,1
zoom,3,2,6
night shots,0,0,1
angle lens,0,0,1
white balance,0,0,1
image quality,0,1,1
money,0,0,2
size,1,0,2
light,4,1,0
sensor,0,0,1
shutter lag,0,0,1
shots,3,0,6
sd card,0,0,1
auto mode,1,0,0
card,3,0,4
flash,0,0,7
