feature,pos,neg,neutral
second battery,1,0,0
movie,0,0,1
screen,1,1,3
focus,1,0,1
video,2,1,10
battery charger,0,0,1
lens,1,0,1
battery,2,0,3
photos,1,0,0
resolution,1,0,0
pictures,3,0,7
mode,3,0,3
button,0,0,1
battery life,0,0,1
features,1,0,0
shutter release,0,0,1
function,1,0,1
noise,1,0,0
options,0,0,1
panorama mode,1,0,0
settings,0,0,2
shutter button,1,0,2
wide angle,1,0,0
video recording,1,1,1
view screen,0,1,0
battery compartment,0,0,1
menu,1,0,0
angle lens,1,0,0
size,2,0,0
light,0,0,1
touch screen,4,0,0
quality video,0,0,1
shots,1,0,1
sd card,0,1,0
flash,1,0,0
