feature,pos,neg,neutral
second battery,0,1,0
movie,0,0,1
screen,1,0,1
focus,0,0,1
lcd screen,1,0,0
video,1,0,2
battery,0,0,3
lens,0,0,4
lcd,0,0,1
battery pack,0,0,1
resolution,0,0,2
photos,2,1,0
pictures,2,2,2
battery life,0,0,2
mode,1,1,1
features,1,1,1
view,1,0,0
price,2,1,0
light conditions,1,0,0
case,0,1,4
memory card,0,0,1
aspect ratio,0,0,1
settings,1,0,0
underwater pictures,0,0,1
video quality,2,0,0
zoom,0,0,1
user interface,0,1,0
image quality,1,0,0
hd movie,0,0,1
money,0,1,0
sensor,0,0,2
dslr,0,0,2
shots,1,0,0
optical zoom,0,0,1
flash,0,1,0
