feature,pos,neg,neutral
quick shots,0,1,0
auto,1,0,0
movie,1,1,0
software,1,2,0
action shots,1,0,0
indoor pictures,0,1,0
screen,2,0,1
focus,1,0,3
lcd screen,1,0,0
video,3,1,5
battery,2,1,3
photos,2,0,1
battery pack,0,0,1
pictures,12,4,6
mode,1,1,1
button,1,1,1
features,0,0,1
spare battery,1,0,0
noise,0,1,0
light conditions,0,0,1
battery door,0,1,0
case,0,0,1
memory card,0,0,2
image,0,1,2
settings,1,1,3
zoom,1,1,5
menu,1,0,0
image quality,1,0,5
size,3,0,0
money,1,0,0
light,8,0,3
touch screen,0,0,2
sensor,1,0,0
dslr,1,1,1
shots,2,1,1
auto mode,2,1,1
light pictures,2,0,0
lens cover,0,1,0
