feature,pos,neg,neutral
manual focus,0,0,1
auto,0,0,2
auto focus,0,0,1
software,1,1,2
color,1,0,0
movie,0,0,2
focus,1,2,1
screen,0,0,4
video,0,2,2
lens,0,0,2
lcd,0,0,1
battery,0,0,2
photos,4,0,10
resolution,0,0,2
quality pictures,0,0,1
pictures,2,1,8
button,0,1,0
mode,2,1,3
features,2,0,0
price,1,0,2
electronic viewfinder,0,0,1
options,0,1,2
automatic mode,0,0,1
pics,6,0,0
menu system,0,0,1
case,0,0,1
panorama mode,1,0,0
image,0,0,3
settings,0,0,3
shutter button,0,0,1
card slot,0,0,2
zoom lens,0,0,1
professional photographer,0,0,1
indoor photos,0,0,1
zoom,2,2,10
price range,0,0,1
usb cable,0,0,1
amateur photographer,1,0,0
size,0,0,1
light,0,1,4
dslr,1,0,1
quality video,1,0,0
shots,2,0,5
sd card,0,0,4
optical zoom,0,0,1
flash,1,0,3
