feature,pos,neg,neutral
auto,0,1,3
color,0,0,1
iso,2,0,1
focus,0,0,1
lcd screen,1,0,1
video,1,0,0
battery,0,1,3
lens,0,2,2
photos,3,1,3
resolution,1,0,2
pictures,4,1,6
mode,4,0,6
battery life,0,0,1
features,3,0,0
view,1,0,0
price,1,1,1
program mode,0,0,1
options,0,0,2
noise,0,1,1
viewfinder,0,0,1
memory card,1,0,0
image,0,1,2
settings,1,0,0
zoom,0,0,4
image stabilization,0,0,1
indoor shots,0,1,0
price range,0,0,1
white balance,0,1,0
image quality,1,0,0
size,0,1,0
money,1,1,0
light,3,0,3
dslr,0,0,2
shots,2,2,2
optical zoom,1,0,0
scene mode,0,0,2
flash,0,2,1
