feature,pos,neg,neutral
auto,1,1,2
iso,0,4,3
view finder,0,0,3
focus,0,3,0
screen,1,3,1
lcd screen,0,0,1
photos,6,1,6
resolution,0,0,1
mode,1,2,3
battery life,0,0,1
features,3,0,4
view,0,0,3
price,5,0,1
options,0,0,4
manual settings,1,0,0
film slr,0,0,1
pics,2,0,1
case,1,0,0
settings,0,0,5
image sensor,0,1,0
image quality,0,0,1
exposure,0,0,1
size,3,0,3
quality photos,0,0,1
light,0,2,1
sensor,0,1,3
shots,3,1,4
flash,0,0,3
color,2,1,3
video,0,0,1
battery,0,1,1
lens,0,1,1
lcd,0,1,2
pictures,1,4,3
price point,1,0,0
button,2,0,1
program mode,1,0,0
noise,0,0,3
viewfinder,1,0,2
optical viewfinder,0,0,3
memory card,0,0,1
iso settings,0,0,1
wide angle,0,0,1
hd video,0,0,1
shutter,0,0,1
zoom,0,0,3
price range,0,0,3
image stabilization,0,0,1
autofocus,0,0,1
entry level,1,0,0
hd camcorder,0,0,1
underwater photos,0,0,1
dslr,1,0,0
kit lens,0,0,1
sd card,0,0,2
manual control,0,0,1
auto mode,0,0,1
optical zoom,0,0,1
