feature,pos,neg,neutral
light situations,1,0,1
shutter speed,1,0,3
movie,1,0,6
software,3,1,7
indoor pictures,0,0,1
lcd display,1,0,0
focus,3,1,8
lcd screen,1,0,1
resolution,1,0,0
quality pictures,1,0,0
card reader,0,0,1
price,4,0,13
noise reduction,1,1,2
options,7,0,3
focal length,0,0,1
pics,1,2,1
case,2,0,5
shutter button,0,0,1
lenses,0,0,3
zoom lens,2,0,1
aa battery,0,0,1
af,0,0,4
priority mode,0,0,1
exposure,0,0,3
size,2,0,6
quality photos,1,0,1
hd movie,0,0,1
light,9,4,13
wrist strap,0,1,3
shots,12,5,24
card,1,0,10
video mode,1,0,1
flash,6,9,28
scene mode,1,0,2
auto focus,2,0,0
battery charger,0,0,1
battery,2,3,23
pictures,25,5,28
price point,0,0,2
noise,1,2,4
macro mode,1,0,1
burst mode,0,0,1
panorama mode,0,1,2
video recording,1,1,1
wide angle,1,1,2
shutter,0,0,1
video quality,6,2,1
image stabilization,2,2,2
menu,0,1,1
usb cable,0,0,1
user interface,0,0,1
angle lens,0,0,2
dslr,0,3,18
manual control,0,0,1
sd card,0,0,4
macro shots,1,1,0
auto,3,1,12
iso,1,0,4
automatic settings,0,0,1
screen,6,1,8
body,0,0,3
photos,21,1,20
battery pack,0,0,1
mode,3,2,20
battery life,3,4,4
features,4,1,16
view,2,0,8
function,2,0,2
manual settings,1,0,2
light conditions,0,0,2
shutter priority,0,0,1
menu system,1,0,0
build quality,2,0,0
settings,6,1,9
image,1,2,7
image quality,7,0,6
sdhc card,1,0,0
touch screen,0,0,1
sensor,0,0,1
memory stick,0,1,4
manual mode,2,0,1
quick shots,0,0,1
color,3,2,12
video,27,9,32
lens,6,4,11
lcd,1,1,6
button,4,5,10
outdoor shots,0,0,1
frame rate,1,0,2
zoom range,1,0,2
focus system,0,0,1
memory card,1,0,3
exposure compensation,0,0,1
hd video,0,0,3
zoom,21,5,18
movie mode,0,0,2
autofocus,3,3,1
amateur photographer,1,0,0
white balance,1,1,0
money,1,0,4
hd camcorder,1,0,0
quality video,0,0,1
optical zoom,3,0,9
auto mode,1,1,3
light pictures,1,0,0
