feature,pos,neg,neutral
macro shots,1,0,0
manual focus,1,0,0
shutter speed,0,0,1
screen,4,0,5
focus,3,3,2
body,0,0,1
photos,0,0,2
mode,0,1,3
battery life,0,1,0
features,4,0,7
view,1,0,0
price,2,0,1
function,0,0,1
options,0,0,2
manual settings,1,0,0
shutter priority,1,0,1
pics,1,0,2
settings,0,0,4
image,1,0,1
lenses,0,1,0
image quality,0,0,1
size,1,0,0
hd movie,0,0,1
exposure,0,0,3
light,3,1,4
touch screen,5,0,9
sensor,0,0,2
shots,0,0,7
light shots,1,0,0
card,0,0,2
manual mode,1,0,0
flash,0,0,2
color,1,1,0
video,4,0,8
lens,3,0,2
battery,0,1,5
pictures,4,1,10
button,3,1,5
program mode,0,0,1
editing software,0,0,1
noise,0,1,0
viewfinder,0,0,2
battery door,2,0,1
panorama mode,1,0,1
card slot,0,0,1
hd video,0,0,3
light settings,1,0,0
shutter,0,1,0
video quality,2,0,0
zoom,1,0,3
price range,0,0,1
image stabilization,0,0,1
menu,0,0,1
angle lens,0,0,1
video capture,0,0,1
dslr,0,0,2
light weight,1,0,0
auto mode,1,0,3
lens cover,0,0,1
