feature,pos,neg,neutral
shutter speed,0,0,1
view finder,0,0,1
customer service,0,0,1
screen,0,1,2
focus,1,0,0
lcd screen,0,0,1
video,1,0,2
battery,0,0,5
lens,0,1,3
lcd,0,0,3
body,0,0,1
photos,0,0,3
resolution,1,0,0
pictures,5,3,3
quality pictures,0,2,0
mode,1,0,3
button,0,0,1
battery life,0,1,0
view,1,0,0
zoom range,1,0,0
photos quality,0,0,1
price,1,1,0
function,0,0,1
macro mode,0,0,1
pics,1,0,1
settings,1,0,0
image,0,0,3
shutter button,0,1,0
wide angle,0,0,2
screen protector,0,0,1
zoom,0,0,4
exposure,0,1,0
light,3,1,0
sensor,0,0,3
touch screen,1,1,0
dslr,0,1,0
shots,0,0,1
sd card,0,0,1
lens cover,0,0,1
optical zoom,0,0,1
card,0,0,4
