feature,pos,neg,neutral
auto,0,0,1
shutter speed,0,1,2
iso,1,0,0
software,0,0,1
movie,0,0,1
view finder,1,0,2
screen,1,0,3
focus,0,0,2
lcd screen,2,1,0
focus ring,0,0,1
body,0,0,5
photos,3,0,4
resolution,0,0,1
battery pack,0,0,1
video clips,0,0,1
battery life,0,0,1
mode,0,0,1
view,0,0,1
price,0,0,2
options,1,0,0
neck strap,1,0,0
menu system,0,0,1
user manual,0,0,2
settings,3,1,3
shutter button,0,0,4
image,1,0,0
lenses,5,2,12
af,1,0,2
video shoot,0,0,1
image quality,0,0,1
quality photos,1,0,0
exposure,0,0,2
size,0,0,1
light,0,0,4
battery grip,0,0,3
sdhc card,0,0,1
shots,4,0,2
manual mode,0,0,1
card,0,0,1
flash,0,0,1
color,1,0,0
auto focus,0,0,2
video,3,2,6
battery charger,0,1,0
battery,0,0,4
lens,1,0,8
lcd,0,0,1
pictures,1,1,0
button,0,0,1
viewfinder,1,0,1
hd video,0,0,2
video recording,0,0,2
night shots,0,1,0
video capture,0,0,1
money,0,0,1
dslr,1,0,3
kit lens,0,0,1
