feature,pos,neg,neutral
manual focus,1,0,1
auto,2,0,0
color,0,2,2
screen,2,1,1
focus,0,0,1
video,1,1,3
lcd,0,0,1
battery,2,0,1
lens,0,1,1
photos,5,1,2
resolution,1,0,0
pictures,2,2,9
quality pictures,1,0,0
button,0,0,2
battery life,1,0,1
mode,0,0,4
features,2,1,4
view,0,0,1
price,2,1,0
viewfinder,0,1,0
battery door,0,2,1
pics,3,0,1
build quality,0,0,1
case,0,0,2
memory card,0,0,1
image,0,1,1
settings,0,0,2
wide angle,0,0,1
zoom,2,0,5
price range,1,0,0
image stabilization,1,0,0
menu,0,0,1
white balance,0,0,1
money,2,0,1
size,0,0,3
quality photos,1,0,0
light,2,0,2
shots,0,0,1
auto mode,0,0,1
optical zoom,0,0,1
flash,1,1,0
