feature,pos,neg,neutral
auto,1,0,0
shutter speed,0,1,2
iso,1,0,5
auto focus,1,1,0
color,0,0,1
software,0,0,3
customer service,0,0,1
focus,0,1,1
video,0,0,1
battery,0,0,1
photos,2,2,2
resolution,0,1,2
pictures,3,0,9
price point,0,0,1
quality pictures,1,0,0
button,0,0,2
mode,0,0,1
battery life,0,1,0
features,3,0,0
frame rate,0,0,1
price,1,0,2
noise,0,0,2
options,1,0,0
manual settings,0,0,2
light conditions,1,0,0
pics,0,1,0
menu system,0,0,1
case,1,0,0
iso settings,0,0,1
shutter button,0,0,1
settings,0,0,1
image,0,1,0
shutter,2,1,2
zoom,2,0,3
image stabilization,0,0,1
menu,1,0,0
amateur photographer,0,0,1
size,1,0,6
exposure,3,0,0
money,0,0,2
light,3,1,5
sensor,0,1,1
dslr,0,0,1
shots,1,4,3
video mode,0,0,1
flash,0,1,3
