feature,pos,neg,neutral
auto,2,0,2
iso,1,2,4
software,0,0,2
action shots,0,1,2
focus,5,0,5
screen,0,1,2
lcd screen,0,0,1
body,1,0,2
photos,3,0,8
resolution,2,1,1
battery life,1,0,2
mode,0,1,2
features,4,0,9
shutter release,1,0,2
view,0,0,1
price,2,0,2
function,0,0,1
noise reduction,0,0,1
manual settings,1,0,0
focal length,0,0,1
pics,1,2,2
case,0,0,1
build quality,1,0,0
image,0,0,3
settings,0,1,6
lenses,1,1,7
zoom lens,0,0,2
af,0,1,4
image quality,3,2,5
size,2,0,3
exposure,0,3,1
light,6,1,3
sensor,1,0,3
shutter lag,0,0,1
shots,2,2,9
light capability,1,0,0
card,0,0,2
video mode,1,0,1
sensor size,0,0,1
flash,2,0,2
auto focus,1,0,1
color,2,1,2
video,8,1,11
lens,4,0,15
lcd,1,0,3
battery,1,0,4
pictures,10,3,17
button,1,0,8
frame rate,0,0,1
zoom range,0,0,1
noise,1,0,4
electronic viewfinder,1,0,0
viewfinder,0,0,1
burst mode,1,1,4
battery door,0,0,1
lens cap,0,1,0
memory card,0,0,1
hd video,2,0,0
wide angle,0,1,0
shutter,0,1,4
video quality,0,1,0
zoom,11,0,18
indoor shots,0,0,1
night shots,0,0,1
image stabilization,3,0,0
price range,0,0,1
autofocus,1,0,1
money,0,0,1
telephoto lens,1,0,2
hd camcorder,1,0,1
dslr,3,1,11
light weight,0,0,1
kit lens,1,0,0
sd card,1,0,3
manual control,0,0,3
auto mode,2,0,1
optical zoom,0,0,2
