feature,pos,neg,neutral
light situations,2,0,0
auto,0,0,1
color,0,1,3
iso,0,0,1
movie,3,0,1
screen,1,0,0
focus,0,0,1
lcd screen,0,1,0
video,1,1,5
battery,2,2,1
lens,1,0,3
photos,2,0,2
pictures,5,2,4
mode,1,0,4
battery life,2,2,3
button,0,0,2
features,1,0,3
price,3,0,0
function,2,0,1
options,1,0,2
pics,1,0,2
shutter priority,0,0,2
memory card,0,0,1
case,0,0,2
menu system,0,0,1
settings,1,0,2
image,0,1,0
hd video,3,0,1
video recording,0,0,1
zoom lens,0,0,1
video quality,0,1,0
zoom,2,0,2
image stabilization,1,0,0
menu,1,0,1
white balance,0,0,1
rechargeable battery,0,0,1
quality photos,1,0,1
size,0,0,4
money,0,0,1
shots,1,0,1
sd card,0,0,1
auto mode,2,0,1
video mode,0,0,1
manual mode,1,0,0
optical zoom,1,0,1
flash,0,0,11
