feature,pos,neg,neutral
second battery,0,0,1
auto,1,0,1
shutter speed,0,1,0
color,2,0,0
iso,1,0,0
focus,1,1,0
video,1,1,6
lcd,1,1,0
battery,1,1,1
lens,1,0,4
resolution,0,1,1
photos,1,0,1
pictures,8,2,7
button,1,2,2
battery life,0,1,0
features,1,0,0
view,1,0,1
noise,2,0,0
options,0,1,0
light conditions,0,0,2
pics,0,0,1
memory card,0,0,2
case,0,0,1
image,1,0,0
hd video,0,0,1
video recording,1,0,0
view screen,0,0,1
video quality,1,0,0
zoom,1,4,4
menu,0,1,0
autofocus,1,0,0
money,0,0,1
light,1,0,1
sensor,0,1,0
dslr,0,1,0
shots,0,3,2
sd card,0,0,1
card,1,0,1
light pictures,1,0,0
flash,1,0,0
