feature,pos,neg,neutral
manual focus,1,0,1
movie,3,0,6
iso,2,0,2
focus,0,4,3
screen,2,0,2
lcd screen,0,0,2
body,0,0,6
photos,3,0,2
mode,0,0,3
features,1,1,3
view,1,0,0
spare battery,0,0,1
price,2,0,0
pics,2,0,1
build quality,1,0,0
case,0,0,1
image,1,0,0
settings,0,0,2
lenses,0,0,1
image quality,3,0,2
size,3,1,3
quality photos,1,0,1
exposure,0,0,1
light,2,2,4
sensor,0,2,1
shots,4,0,3
flash,2,1,10
color,0,1,0
video,1,1,11
lens,4,2,3
lcd,0,0,4
battery,0,1,0
pictures,2,1,2
button,0,1,1
editing software,0,0,1
noise,0,2,12
viewfinder,1,0,3
video recording,0,0,2
hd video,0,0,1
shutter,0,1,2
zoom,0,0,1
movie mode,0,1,0
menu,0,0,5
user interface,0,1,0
money,0,1,0
dslr,2,0,8
light weight,1,0,0
sd card,0,0,3
auto mode,0,0,2
