feature,pos,neg,neutral
tech support,0,0,4
instructions,0,0,1
paper feeder,1,0,0
software,1,1,6
customer service,0,1,1
scan,3,1,16
duplex,2,1,3
office,1,0,1
multiple pages,0,0,3
mac,3,2,8
price point,1,0,0
mode,1,0,2
sleep mode,1,0,0
paper,0,2,4
feature,0,0,1
firmware update,0,0,1
price,1,0,2
toner,1,0,1
function,1,0,6
duplex feature,0,0,1
scanner,2,1,1
pdf file,0,0,1
connection,0,1,1
copy,0,0,6
image,0,0,2
cost,1,0,1
error message,0,0,1
paper jam,0,0,1
customer support,0,0,1
toner cartridges,0,0,1
money,0,0,2
size,0,0,3
install,0,0,2
machine,2,4,13
scan function,1,0,0
windows vista,0,0,1
setup,0,0,3
paper size,0,0,1
support,0,0,3
device,0,0,1
option,0,0,2
