feature,pos,neg,neutral
light situations,1,1,0
Pictures,0,1,0
manual focus,4,2,0
shutter speed,4,2,3
software,5,1,0
movie,2,2,3
view finder,2,0,0
lower light,1,0,1
focus,23,16,21
Shutter,0,1,0
Image,1,0,1
LCD screen,5,2,2
resolution,8,7,4
video clips,1,0,0
Video Quality,0,1,0
card reader,2,0,0
AUTOFOCUS,1,0,0
price,20,9,13
Auto ISO,0,1,1
options,2,0,0
noise reduction,3,1,0
dSLR,0,1,0
focal length,1,2,0
pics,1,1,1
case,2,1,4
shutter button,1,0,1
lenses,33,19,14
autofocus system,3,1,1
zoom lens,1,1,3
professional photographer,0,0,3
AF,12,14,8
image sensor,1,0,1
Exposure,1,0,0
Image quality,1,0,0
HD Video,1,0,0
size,8,3,2
exposure,9,5,6
light,16,6,11
battery grip,0,0,3
Lens,1,4,0
shutter lag,0,0,1
shots,15,11,11
light capability,0,1,0
sensor size,2,1,1
card,1,2,2
video mode,1,1,1
flash,13,12,3
Lenses,1,1,0
auto focus,3,1,2
battery,3,3,2
pictures,4,1,3
firmware update,4,3,1
Auto Focus,0,2,0
editing software,1,0,0
noise,10,8,8
Menu,1,0,1
AF system,1,2,0
burst mode,1,0,0
Build quality,1,0,0
optical viewfinder,0,0,1
Movie,1,0,0
ISO range,1,1,1
wide angle,5,4,5
video recording,1,0,3
ISO,33,29,13
shutter,5,9,6
video quality,1,0,0
image stabilization,4,0,0
night shots,0,2,1
menu,4,1,4
angle lens,1,0,0
DSLR,5,1,0
kit lens,0,0,1
manual control,1,0,2
popup Flash,0,1,0
second battery,2,0,0
auto,2,4,2
Noise,2,0,0
VIDEO,1,1,0
Viewfinder,1,0,0
screen,18,12,4
NOISE,0,0,1
body,14,10,6
photos,15,9,6
HD video,9,1,1
mode,7,8,6
battery life,2,1,0
features,13,7,5
view,7,1,2
function,4,0,1
Battery,1,0,0
Image Quality,0,1,0
SHUTTER,0,0,1
light conditions,0,0,1
menu system,2,0,1
build quality,3,0,0
Image Stabilization,0,1,0
user manual,0,0,1
settings,6,4,6
image,8,4,5
higher resolution,1,1,2
Memory Card,0,0,1
Color,1,0,0
Auto mode,2,0,0
video capability,2,0,2
LCD,7,2,3
image quality,15,5,6
prime lens,1,0,0
Price,1,0,1
Video,2,0,2
Focus,2,1,0
sensor,30,11,13
Software,0,1,0
manual mode,0,1,0
Sensor,0,1,0
Battery Grip,0,0,1
HD camcorder,0,0,1
color,2,0,2
Battery life,2,0,0
Screen,1,0,0
video,35,21,25
lens,67,22,31
AF point,1,0,1
Auto,1,0,0
button,6,2,2
Photos,1,0,0
Function,0,1,0
frame rate,0,1,2
zoom range,0,1,0
viewfinder,6,2,1
Features,0,0,1
Flash,2,0,1
weather seals,1,0,0
auto ISO,0,1,0
Body,1,1,1
memory card,1,3,0
focus system,1,2,0
exposure compensation,1,0,0
video features,0,0,1
zoom,12,10,6
movie mode,1,0,1
autofocus,5,2,4
View,3,2,2
amateur photographer,0,0,1
white balance,1,1,0
Manual mode,2,0,0
video capture,0,0,2
money,11,4,3
quality video,2,0,0
film SLR,0,0,1
Manual Control,0,1,0
auto mode,0,1,0
