feature,pos,neg,neutral
Pictures,0,0,1
shutter speed,0,0,4
software,0,0,4
movie,0,0,1
Shutter,0,0,1
focus,0,0,5
Image,0,0,1
resolution,0,0,6
price,0,0,19
noise reduction,0,0,1
focal length,0,0,1
neck strap,0,0,1
pics,0,0,1
Settings,0,0,1
case,0,0,4
lenses,0,0,34
autofocus system,0,0,3
professional photographer,0,0,1
AF,0,0,18
image sensor,0,0,1
lens hood,0,0,1
Image quality,0,0,1
HD Video,0,0,1
size,0,0,3
exposure,0,0,2
light,0,0,9
battery grip,0,0,6
Lens,0,0,1
shots,0,0,6
flash,0,0,9
Lenses,0,0,1
auto focus,0,0,3
Zoom Lens,0,0,2
battery,0,0,2
pictures,0,0,13
noise,0,0,10
LCD display,0,0,1
AF system,0,0,3
lens cap,0,0,1
ISO range,0,0,3
video recording,0,0,1
wide angle,0,0,3
ISO,0,0,18
shutter,0,0,3
Kit lens,0,0,1
image stabilization,0,0,1
Wide Angle,0,0,1
Auto focus,0,0,1
DSLR,0,0,4
dslr,0,0,1
kit lens,0,0,7
light weight,0,0,1
auto,0,0,2
iso,0,0,1
Noise,0,0,3
customer service,0,0,2
screen,0,0,5
body,0,0,12
photos,0,0,4
HD video,0,0,5
mode,0,0,1
battery life,0,0,1
features,0,0,7
view,0,0,3
Light,0,0,1
function,0,0,1
build quality,0,0,5
menu system,0,0,1
image,0,0,7
higher resolution,0,0,3
settings,0,0,2
video capability,0,0,1
LCD,0,0,5
image quality,0,0,10
Price,0,0,1
Video,0,0,1
Focus,0,0,1
sensor,0,0,14
Battery Grip,0,0,2
Sensor,0,0,1
color,0,0,2
video,0,0,8
lens,0,0,37
Auto,0,0,1
frame rate,0,0,2
zoom range,0,0,2
viewfinder,0,0,7
Features,0,0,1
auto ISO,0,0,1
Body,0,0,3
light settings,0,0,1
zoom,0,0,4
movie mode,0,0,3
autofocus,0,0,3
Battery Pack,0,0,1
video capture,0,0,1
money,0,0,4
focus point,0,0,1
Movie mode,0,0,1
