feature,pos,neg,neutral
manual focus,0,0,1
auto,2,0,5
shutter speed,0,1,4
iso,1,0,5
movie,1,0,4
software,2,1,5
action shots,0,0,2
view finder,0,0,1
customer service,1,1,0
lcd display,0,0,1
focus,3,1,5
screen,1,0,7
lcd screen,1,0,3
body,0,0,4
resolution,1,0,0
photos,6,1,8
battery life,2,1,2
mode,2,0,13
features,3,1,7
spare battery,1,0,0
card reader,0,0,2
price,5,3,3
function,2,1,0
options,2,0,1
neck strap,0,0,2
pics,5,4,5
case,0,1,4
menu system,0,0,1
settings,3,0,5
shutter button,1,0,3
image,2,0,3
lenses,0,0,2
view screen,0,0,1
underwater pictures,0,2,1
image quality,6,1,2
size,0,1,2
exposure,0,0,8
light,3,1,4
sdhc card,0,0,1
wrist strap,0,0,5
sensor,0,1,2
shots,10,3,23
card,0,0,3
video mode,0,0,4
flash,0,1,6
scene mode,1,0,0
color,5,0,8
auto focus,1,1,1
video,4,2,12
lens,4,5,31
lcd,2,1,1
battery,4,4,20
pictures,33,7,36
button,1,0,7
zoom range,0,1,1
program mode,0,0,1
noise,0,0,5
viewfinder,0,1,3
lens cap,0,1,5
memory card,0,1,4
panorama mode,0,0,1
video recording,0,0,1
hd video,0,0,3
shutter,1,0,2
video quality,1,1,1
zoom,1,0,7
image stabilization,1,0,3
menu,2,0,3
autofocus,0,0,1
battery compartment,0,0,2
lens error,0,1,3
amateur photographer,0,0,1
white balance,0,0,6
money,2,1,3
dslr,1,0,4
manual control,0,0,2
sd card,0,0,3
optical zoom,2,0,3
lens cover,1,0,3
auto mode,3,0,7
