feature,pos,neg,neutral
tech support,0,0,3
instructions,0,2,3
test pages,0,0,2
software,0,1,3
part,1,0,0
customer service,1,0,1
duplex,2,2,9
office,0,0,7
mac,1,0,7
mode,0,2,5
mac os,0,1,0
output tray,0,0,1
technical support,0,0,1
capability,0,0,2
paper,0,3,18
feature,1,1,3
toner,1,2,24
price,4,1,4
function,0,1,6
duplex feature,0,0,1
connection,1,2,1
text,0,1,2
memory card,0,0,1
wifi,0,0,1
cost,0,0,5
control panel,0,0,1
toner cartridges,1,0,2
money,1,1,1
size,0,0,1
install,1,0,5
snow leopard,1,0,2
machine,1,2,3
setup,3,0,12
mac user,0,1,0
device,0,1,2
support,0,1,2
option,0,0,5
