feature,pos,neg,neutral
Pictures,0,0,3
manual focus,0,0,6
shutter speed,0,0,6
software,0,0,14
movie,0,0,6
view finder,0,0,3
lower light,0,0,2
focus,0,0,17
focus ring,0,0,1
Macro shots,0,0,1
LCD screen,0,0,6
resolution,0,0,7
SD Card,0,0,4
quality pictures,0,0,1
card reader,0,0,1
price,0,0,28
kit lenses,0,0,1
options,0,0,14
dSLR,0,0,4
pics,0,0,8
case,0,0,6
shutter button,0,0,1
lenses,0,0,51
zoom lens,0,0,5
professional photographer,0,0,3
AF,0,0,3
image sensor,0,0,1
lens hood,0,0,1
auto settings,0,0,1
HD Video,0,0,1
exposure,0,0,5
size,0,0,14
quality photos,0,0,1
light,0,0,38
battery grip,0,0,3
Lens,0,0,4
BATTERY GRIP,0,0,1
shutter lag,0,0,2
shots,0,0,34
video mode,0,0,5
card,0,0,10
sensor size,0,0,1
flash,0,0,35
Lenses,0,0,1
auto focus,0,0,6
Zoom Lens,0,0,2
HD movie,0,0,2
White Balance,0,0,2
battery,0,0,16
pictures,0,0,105
price point,0,0,3
swivel screen,0,0,1
editing software,0,0,1
noise,0,0,38
LCD display,0,0,1
Menu,0,0,2
automatic mode,0,0,2
AF system,0,0,1
burst mode,0,0,1
ISO range,0,0,1
video recording,0,0,2
wide angle,0,0,1
ISO,0,0,28
shutter,0,0,7
Kit lens,0,0,1
video quality,0,0,2
price range,0,0,7
image stabilization,0,0,3
night shots,0,0,1
menu,0,0,5
user interface,0,0,4
Auto focus,0,0,1
lcd monitor,0,0,1
DSLR,0,0,38
dslr,0,0,1
kit lens,0,0,29
light weight,0,0,3
manual control,0,0,1
macro shots,0,0,1
second battery,0,0,2
auto,0,0,13
iso,0,0,7
automatic settings,0,0,2
Noise,0,0,1
action shots,0,0,1
customer service,0,0,2
screen,0,0,23
body,0,0,20
photos,0,0,31
mode,0,0,32
HD video,0,0,8
battery life,0,0,4
features,0,0,24
view,0,0,13
shutter release,0,0,3
Light,0,0,1
Battery,0,0,2
function,0,0,3
Image Quality,0,0,2
light conditions,0,0,3
SHUTTER,0,0,1
manual settings,0,0,3
build quality,0,0,2
menu system,0,0,1
image,0,0,20
settings,0,0,20
higher resolution,0,0,2
SDHC card,0,0,1
Memory Card,0,0,1
video capability,0,0,2
LCD,0,0,12
image quality,0,0,14
prime lens,0,0,1
Video,0,0,13
sdhc card,0,0,1
Indoor pictures,0,0,1
sensor,0,0,23
quick shots,0,0,2
HD camcorder,0,0,2
color,0,0,12
Battery life,0,0,1
wireless flash,0,0,1
video,0,0,91
lens,0,0,86
lcd,0,0,1
button,0,0,10
Auto,0,0,3
Money,0,0,1
quality image,0,0,2
frame rate,0,0,1
viewfinder,0,0,7
Flash,0,0,3
LENS,0,0,2
memory card,0,0,3
SD card,0,0,1
exposure compensation,0,0,2
light settings,0,0,1
Mode,0,0,3
video features,0,0,1
zoom,0,0,23
movie mode,0,0,8
autofocus,0,0,5
View,0,0,3
white balance,0,0,7
Manual mode,0,0,1
money,0,0,20
entry level,0,0,3
telephoto lens,0,0,1
ISO settings,0,0,1
optical zoom,0,0,1
auto mode,0,0,2
