feature,pos,neg,neutral
tech support,1,0,1
instructions,0,0,2
customer service,0,0,3
office,2,0,5
mac,3,1,8
pictures,0,0,1
mode,0,0,3
mac os,0,0,1
paper,0,1,10
price,0,0,3
toner,2,0,6
function,1,0,0
connection,3,0,3
copy,1,0,1
paper tray,0,0,1
wifi,0,0,15
cost,0,0,3
windows xp,0,1,0
regular paper,0,0,1
starter toner,0,0,2
error message,0,0,2
initial setup,0,0,1
toner cartridges,0,0,7
starter cartridges,0,0,2
money,0,0,2
size,0,0,1
install,0,1,9
machine,0,0,9
snow leopard,0,0,1
setup,2,0,16
mac user,0,1,0
support,0,0,4
option,1,0,3
