feature,pos,neg,neutral
Pictures,0,0,1
light situations,0,0,1
shutter speed,0,0,4
software,0,0,21
movie,0,0,11
indoor pictures,0,0,5
focus,0,0,3
Shutter,0,0,2
Memory stick,0,0,1
Focal Length,0,0,1
Image,0,0,1
LCD screen,0,0,1
resolution,0,0,16
video clips,0,0,1
quality pictures,0,0,1
card reader,0,0,1
price,0,0,17
options,0,0,9
noise reduction,0,0,8
pics,0,0,4
case,0,0,4
shutter button,0,0,1
Burst Mode,0,0,1
lenses,0,0,4
professional photographer,0,0,2
AF,0,0,4
image sensor,0,0,2
size,0,0,17
exposure,0,0,8
light,0,0,61
Lens,0,0,2
shots,0,0,42
light capability,0,0,1
card,0,0,10
light shots,0,0,1
video mode,0,0,7
flash,0,0,28
scene mode,0,0,1
light photos,0,0,1
auto focus,0,0,1
Noise reduction,0,0,2
Macro Mode,0,0,1
HD movie,0,0,1
White Balance,0,0,2
battery charger,0,0,2
battery,0,0,14
pictures,0,0,73
price point,0,0,4
Case,0,0,7
editing software,0,0,1
noise,0,0,15
LCD display,0,0,3
battery door,0,0,3
burst mode,0,0,8
Build quality,0,0,1
panorama mode,0,0,3
Movie,0,0,1
video recording,0,0,4
wide angle,0,0,7
ISO,0,0,14
HD Movie,0,0,1
shutter,0,0,9
video quality,0,0,5
price range,0,0,2
indoor shots,0,0,1
image stabilization,0,0,3
night shots,0,0,6
menu,0,0,2
Screen Protector,0,0,3
angle lens,0,0,2
White balance,0,0,1
DSLR,0,0,21
dslr,0,0,1
sd card,0,0,1
manual control,0,0,2
auto,0,0,8
iso,0,0,3
automatic settings,0,0,1
action shots,0,0,3
customer service,0,0,6
screen,0,0,4
body,0,0,6
photos,0,0,55
mode,0,0,58
HD video,0,0,11
battery life,0,0,6
features,0,0,48
Wide angle,0,0,1
view,0,0,7
spare battery,0,0,2
Light,0,0,1
Battery,0,0,3
function,0,0,11
manual settings,0,0,2
light conditions,0,0,2
shutter priority,0,0,1
menu system,0,0,2
Image Stabilization,0,0,1
settings,0,0,25
image,0,0,16
SDHC card,0,0,1
Memory Stick,0,0,1
Color,0,0,2
LIGHT,0,0,1
Auto mode,0,0,5
video capability,0,0,1
LCD,0,0,5
image quality,0,0,18
Price,0,0,1
Video,0,0,7
sensor,0,0,11
Software,0,0,3
touch screen,0,0,1
manual mode,0,0,4
Sensor,0,0,2
Resolution,0,0,1
Shutter speed,0,0,2
HD camcorder,0,0,3
color,0,0,17
Battery life,0,0,1
LCD Screen,0,0,1
video,0,0,65
lens,0,0,19
lcd,0,0,1
Auto,0,0,9
button,0,0,12
quality image,0,0,1
outdoor shots,0,0,2
zoom range,0,0,2
Zoom,0,0,3
Features,0,0,2
viewfinder,0,0,1
Flash,0,0,7
memory card,0,0,8
SD card,0,0,1
Image stabilization,0,0,1
Manual Mode,0,0,1
Panorama mode,0,0,1
Mode,0,0,6
Video quality,0,0,3
indoor photos,0,0,1
zoom,0,0,40
movie mode,0,0,2
Program mode,0,0,1
white balance,0,0,7
money,0,0,10
Optical Zoom,0,0,1
Action shots,0,0,1
quality video,0,0,1
optical zoom,0,0,8
auto mode,0,0,2
light pictures,0,0,2
