feature,pos,neg,neutral
tech support,0,0,8
instructions,0,0,3
software,6,3,15
customer service,1,0,1
part,1,1,4
scan,2,0,13
duplex,0,0,4
lcd screen,0,0,1
size paper,0,0,1
office,2,1,13
pictures,2,0,3
price point,1,0,0
mac,3,0,8
multiple pages,0,0,1
mode,0,0,2
capability,2,0,1
paper,3,4,20
feature,3,2,3
price,4,0,6
function,1,0,3
scanner,0,1,5
connection,1,2,6
text,1,0,3
copy,0,0,8
memory card,0,0,2
paper tray,0,0,1
wifi,0,0,4
cost,1,0,5
operating system,0,0,2
error message,0,0,4
initial setup,0,0,1
phone line,0,0,1
control panel,0,0,1
customer support,0,0,2
money,1,1,4
size,1,0,2
install,3,0,8
machine,8,7,20
snow leopard,0,0,1
setup,3,1,8
support,1,0,4
device,1,1,2
option,2,2,3
