feature,pos,neg,neutral
shutter speed,0,0,2
software,0,0,4
movie,0,0,1
view finder,0,0,1
focus,0,0,18
lower light,0,0,1
lcd screen,0,0,1
LCD screen,0,0,5
resolution,0,0,3
AUTOFOCUS,0,0,3
Button,0,0,1
price,0,0,21
kit lenses,0,0,3
noise reduction,0,0,2
options,0,0,3
dSLR,0,0,2
focal length,0,0,1
film slr,0,0,1
pics,0,0,4
case,0,0,1
shutter button,0,0,2
lenses,0,0,24
zoom lens,0,0,7
professional photographer,0,0,3
AF,0,0,6
screen protector,0,0,1
LCD MONITOR,0,0,1
lens hood,0,0,2
Card,0,0,1
Image quality,0,0,2
priority mode,0,0,1
HD Video,0,0,3
exposure,0,0,7
size,0,0,8
quality photos,0,0,1
light,0,0,25
battery grip,0,0,1
Lens,0,0,1
shots,0,0,26
light capability,0,0,2
SDHC Card,0,0,1
card,0,0,12
video mode,0,0,9
flash,0,0,16
auto focus,0,0,2
Zoom Lens,0,0,1
battery,0,0,14
pictures,0,0,38
price point,0,0,2
SDHC CARD,0,0,1
firmware update,0,0,1
noise,0,0,17
LCD display,0,0,1
battery door,0,0,3
Build quality,0,0,1
panorama mode,0,0,1
video recording,0,0,2
wide angle,0,0,1
ISO,0,0,18
shutter,0,0,7
Kit lens,0,0,2
price range,0,0,3
image stabilization,0,0,1
menu,0,0,3
FEATURES,0,0,1
Video capture,0,0,1
White balance,0,0,1
DSLR,0,0,24
dslr,0,0,3
kit lens,0,0,23
light weight,0,0,2
manual control,0,0,1
sd card,0,0,1
second battery,0,0,1
auto,0,0,7
iso,0,0,3
automatic settings,0,0,1
VIDEO,0,0,1
action shots,0,0,3
customer service,0,0,2
screen,0,0,12
body,0,0,13
photos,0,0,21
battery pack,0,0,2
mode,0,0,10
battery life,0,0,2
HD video,0,0,3
features,0,0,13
view,0,0,4
IMAGE QUALITY,0,0,1
function,0,0,5
Battery,0,0,1
manual settings,0,0,2
light conditions,0,0,1
menu system,0,0,2
build quality,0,0,1
user manual,0,0,1
Video mode,0,0,1
settings,0,0,13
image,0,0,10
SDHC card,0,0,1
PRICE,0,0,1
video capability,0,0,3
LCD,0,0,12
image quality,0,0,4
prime lens,0,0,2
Price,0,0,1
Video,0,0,2
Focus,0,0,1
sdhc card,0,0,1
sensor,0,0,20
BUILD QUALITY,0,0,1
BODY,0,0,2
manual mode,0,0,1
HD VIDEO,0,0,1
color,0,0,7
external flash,0,0,1
video,0,0,81
lens,0,0,69
lcd,0,0,2
button,0,0,10
Auto,0,0,3
Photos,0,0,1
zoom range,0,0,2
viewfinder,0,0,6
Flash,0,0,1
auto ISO,0,0,1
LENS,0,0,1
Body,0,0,1
EXPOSURE,0,0,1
memory card,0,0,1
SD card,0,0,4
aspect ratio,0,0,1
exposure compensation,0,0,1
MEMORY CARD,0,0,1
zoom,0,0,14
movie mode,0,0,1
autofocus,0,0,9
BATTERY LIFE,0,0,1
white balance,0,0,2
video capture,0,0,1
money,0,0,14
entry level,0,0,3
telephoto lens,0,0,1
VIDEO RECORDING,0,0,1
quality video,0,0,4
film SLR,0,0,1
auto mode,0,0,2
