feature,pos,neg,neutral
light situations,0,0,1
manual focus,0,0,1
auto,0,0,3
iso,0,0,3
VIDEO,0,0,1
Shutter Release,0,0,1
Size,0,0,1
focus,0,0,7
screen,0,0,6
lcd screen,0,0,1
body,0,0,22
LCD screen,0,0,5
photos,0,0,12
resolution,0,0,2
quality pictures,0,0,1
video clips,0,0,2
mode,0,0,3
HD video,0,0,5
battery life,0,0,1
features,0,0,5
view,0,0,3
AUTOFOCUS,0,0,3
price,0,0,7
options,0,0,2
noise reduction,0,0,1
manual settings,0,0,1
focal length,0,0,1
pics,0,0,2
build quality,0,0,5
image,0,0,3
shutter button,0,0,5
settings,0,0,2
lenses,0,0,14
AF,0,0,6
screen protector,0,0,1
Auto mode,0,0,1
auto settings,0,0,1
LCD,0,0,5
image quality,0,0,4
prime lens,0,0,1
exposure,0,0,2
size,0,0,4
light,0,0,16
Video,0,0,2
Focus,0,0,1
sensor,0,0,17
BUILD QUALITY,0,0,1
Lens,0,0,1
shots,0,0,15
card,0,0,7
video mode,0,0,3
flash,0,0,5
color,0,0,6
auto focus,0,0,1
external flash,0,0,1
FOCUS,0,0,1
Zoom Lens,0,0,1
video,0,0,37
lens,0,0,36
battery,0,0,4
lcd,0,0,2
pictures,0,0,17
button,0,0,4
Sensor Size,0,0,1
program mode,0,0,2
noise,0,0,10
viewfinder,0,0,3
automatic mode,0,0,1
battery door,0,0,3
LENS,0,0,1
memory card,0,0,1
EXPOSURE,0,0,1
SD card,0,0,5
exposure compensation,0,0,1
video recording,0,0,1
ISO,0,0,11
shutter,0,0,2
MEMORY CARD,0,0,1
Mode,0,0,1
Video quality,0,0,1
zoom,0,0,2
image stabilization,0,0,1
price range,0,0,1
autofocus,0,0,3
menu,0,0,3
View,0,0,1
BATTERY LIFE,0,0,1
amateur photographer,0,0,1
white balance,0,0,3
money,0,0,3
DSLR,0,0,8
entry level,0,0,1
quality video,0,0,1
kit lens,0,0,7
manual control,0,0,1
