feature,pos,neg,neutral
light situations,0,0,1
FOCUS,1,0,0
screen,0,0,1
focus,1,1,1
video,4,1,5
lens,9,1,7
body,0,0,1
battery,1,0,2
pictures,2,0,1
HD video,4,1,0
mode,0,1,0
features,1,0,2
spare battery,0,1,0
optical viewfinder,2,1,0
case,2,0,0
shutter button,0,0,1
lenses,1,0,1
wide angle,0,0,1
video recording,0,0,1
Memory Card,1,0,0
ISO,0,0,1
video quality,0,1,0
zoom,2,0,0
lens hood,1,0,2
autofocus,0,0,1
image quality,2,0,1
prime lens,1,0,0
money,2,0,1
exposure,1,1,0
light,1,1,1
DSLR,0,0,1
Price,0,1,0
telephoto lens,0,1,0
Focus,0,1,0
Video,0,0,2
battery grip,1,0,0
sensor,0,0,1
Lens,1,0,0
shutter lag,1,0,0
shots,1,0,0
auto mode,0,1,0
card,0,1,0
flash,0,1,0
