feature,pos,neg,neutral
manual focus,2,1,3
auto,3,0,3
shutter speed,1,0,0
movie,0,0,1
software,1,0,7
iso,4,1,9
view finder,2,1,2
lcd display,2,0,2
customer service,1,2,3
screen,2,0,7
focus,4,0,21
lcd screen,3,0,4
body,5,0,12
photos,7,1,15
resolution,1,1,2
quality pictures,0,0,2
mode,2,5,1
battery life,1,1,2
features,3,2,1
view,1,1,1
price,1,0,2
options,3,0,2
light conditions,0,0,1
manual settings,0,1,0
neck strap,0,1,0
pics,2,0,6
build quality,1,0,1
case,0,0,3
menu system,2,0,6
image,1,1,2
settings,4,1,2
lenses,13,3,41
zoom lens,2,0,4
autofocus system,0,0,1
professional photographer,1,0,1
af,1,1,3
image quality,2,0,5
prime lens,1,0,0
priority mode,0,0,1
exposure,2,1,6
size,5,1,7
quality photos,0,0,1
light,7,1,5
sensor,7,0,5
shutter lag,0,0,1
shots,5,2,9
pictures quality,0,0,1
video mode,0,1,0
card,0,0,1
flash,2,2,7
light photos,1,0,1
color,2,1,0
external flash,1,0,0
auto focus,0,3,2
video,13,2,23
battery charger,0,0,2
lens,17,9,52
battery,0,2,5
lcd,3,0,4
pictures,14,4,7
price point,0,0,4
button,3,0,3
outdoor shots,0,0,1
firmware update,0,1,3
noise,1,0,3
electronic viewfinder,0,0,2
viewfinder,1,1,4
automatic mode,0,0,2
memory card,1,0,0
optical viewfinder,0,0,1
exposure compensation,0,0,1
video recording,1,0,1
wide angle,0,1,0
hd video,1,0,2
shutter,1,4,4
video quality,1,0,0
zoom,3,3,7
image stabilization,0,0,5
autofocus,1,0,1
menu,1,2,2
user interface,1,0,0
amateur photographer,1,0,0
white balance,1,1,0
money,0,1,2
hd camcorder,0,0,1
telephoto lens,0,0,1
dslr,5,0,20
kit lens,0,2,3
light weight,0,0,1
manual control,0,1,2
auto mode,1,0,1
