feature,pos,neg,neutral
tech support,0,0,1
instructions,2,3,1
paper feeder,1,0,0
software,1,4,18
plain paper,0,0,4
part,1,0,2
customer service,0,0,3
scan,0,1,5
duplex,1,0,2
office,2,0,2
pictures,4,0,5
mac,0,0,2
mode,0,0,2
technical support,0,0,1
capability,0,0,1
paper,2,1,41
feature,2,0,6
firmware update,0,0,1
price,3,0,5
function,0,0,2
scanner,1,2,3
connection,1,0,5
text,1,1,3
copy,0,0,4
memory card,0,0,1
paper tray,2,1,0
image,0,1,1
wifi,0,0,5
cost,0,0,5
operating system,0,0,2
error message,0,0,1
initial setup,0,0,1
paper jam,1,1,0
money,1,1,5
size,1,0,1
install,2,4,6
machine,7,1,4
setup,3,4,7
support,1,3,12
device,0,0,3
sd card,0,0,1
option,0,0,2
