feature,pos,neg,neutral
Pictures,0,0,1
light situations,0,0,3
manual focus,0,0,4
shutter speed,0,0,10
movie,0,0,8
software,0,0,31
indoor pictures,0,0,3
Size,0,0,3
view finder,0,0,3
Menu system,0,0,2
focus,0,0,19
lower light,0,0,1
Image,0,0,5
LCD screen,0,0,1
resolution,0,0,8
quality pictures,0,0,3
SD Card,0,0,1
card reader,0,0,2
recording button,0,0,1
Wrist Strap,0,0,1
Button,0,0,1
price,0,0,23
Auto ISO,0,0,1
options,0,0,21
noise reduction,0,0,4
Lens cap,0,0,5
focal length,0,0,5
dSLR,0,0,10
neck strap,0,0,4
pics,0,0,21
case,0,0,27
shutter button,0,0,2
lenses,0,0,27
zoom lens,0,0,4
professional photographer,0,0,6
AF,0,0,4
screen protector,0,0,2
Exposure,0,0,1
Image quality,0,0,5
priority mode,0,0,1
size,0,0,43
exposure,0,0,10
quality photos,0,0,1
light,0,0,72
Lens,0,0,4
wrist strap,0,0,3
shutter lag,0,0,1
shots,0,0,33
light capability,0,0,1
light shots,0,0,1
card,0,0,6
video mode,0,0,4
flash,0,0,70
light photos,0,0,2
scene mode,0,0,1
auto focus,0,0,4
HD movie,0,0,1
White Balance,0,0,1
battery charger,0,0,2
battery,0,0,20
pictures,0,0,83
price point,0,0,1
Case,0,0,1
Sensor Size,0,0,1
DSLr,0,0,1
Auto Focus,0,0,2
editing software,0,0,4
swivel screen,0,0,1
electronic viewfinder,0,0,3
noise,0,0,19
macro mode,0,0,3
Menu,0,0,2
automatic mode,0,0,2
lens cap,0,0,32
burst mode,0,0,2
Angle lens,0,0,1
Build quality,0,0,2
wide angle,0,0,14
ISO,0,0,37
shutter,0,0,5
video quality,0,0,5
indoor shots,0,0,3
image stabilization,0,0,8
price range,0,0,3
menu,0,0,23
Screen Protector,0,0,2
angle lens,0,0,5
Wide Angle,0,0,3
DSLR,0,0,30
Lens Cap,0,0,3
dslr,0,0,1
kit lens,0,0,1
light weight,0,0,2
manual control,0,0,6
lens cover,0,0,5
articulating screen,0,0,2
auto,0,0,19
Customer Service,0,0,1
iso,0,0,7
Noise,0,0,1
customer service,0,0,2
Viewfinder,0,0,1
screen,0,0,17
body,0,0,13
photos,0,0,70
battery life,0,0,13
mode,0,0,53
HD video,0,0,9
features,0,0,35
Wide angle,0,0,3
view,0,0,10
shutter release,0,0,3
spare battery,0,0,4
Battery,0,0,2
function,0,0,4
manual settings,0,0,2
light conditions,0,0,3
focus mode,0,0,2
build quality,0,0,5
Image Stabilization,0,0,1
menu system,0,0,2
image,0,0,20
settings,0,0,26
SDHC card,0,0,3
Color,0,0,1
Auto mode,0,0,1
LCD,0,0,12
image quality,0,0,23
prime lens,0,0,2
Price,0,0,1
Video,0,0,1
sensor,0,0,13
touch screen,0,0,1
manual mode,0,0,2
HD camcorder,0,0,1
external flash,0,0,5
color,0,0,22
Battery life,0,0,4
LCD Screen,0,0,2
video,0,0,61
lens,0,0,138
lcd,0,0,2
button,0,0,24
Auto,0,0,4
USB cable,0,0,1
Function,0,0,1
zoom range,0,0,7
program mode,0,0,1
Zoom,0,0,7
viewfinder,0,0,16
Features,0,0,2
auto ISO,0,0,1
Body,0,0,1
memory card,0,0,4
SD card,0,0,6
aspect ratio,0,0,6
exposure compensation,0,0,2
Manual control,0,0,1
Video quality,0,0,1
zoom,0,0,53
movie mode,0,0,2
autofocus,0,0,5
amateur photographer,0,0,1
white balance,0,0,3
Manual mode,0,0,1
money,0,0,7
Manual Focus,0,0,2
telephoto lens,0,0,1
entry level,0,0,1
Movie mode,0,0,1
quality video,0,0,3
film SLR,0,0,1
optical zoom,0,0,5
light pictures,0,0,1
