feature,pos,neg,neutral
tech support,1,1,1
instructions,0,0,4
software,1,1,5
part,0,0,1
customer service,1,0,0
scan,0,0,2
office,0,0,1
mac,0,0,5
pictures,0,0,1
mode,0,0,1
paper feed,0,0,1
sleep mode,0,0,1
scan feature,1,0,0
capability,1,0,0
paper,0,2,2
feature,1,0,4
price,1,0,0
function,1,1,1
scanner,3,0,1
connection,0,0,1
text,0,0,3
image,0,0,1
wifi,0,0,1
cost,0,0,1
regular paper,0,0,1
error message,0,0,1
price range,0,0,1
money,1,0,2
install,1,0,2
machine,1,0,2
setup,0,0,4
touch screen,0,0,1
support,0,1,7
device,0,0,1
option,0,0,1
