feature,pos,neg,neutral
light situations,1,0,0
manual focus,3,0,0
shutter speed,2,2,0
movie,1,0,0
Size,0,0,2
view finder,2,0,1
focus,6,9,5
LCD screen,5,1,0
resolution,2,0,1
video clips,0,1,2
quality pictures,1,0,1
price,11,7,4
options,1,1,2
pics,17,5,1
case,5,3,5
shutter button,1,0,0
lenses,2,0,0
zoom lens,1,0,0
professional photographer,0,0,2
Customer service,1,0,0
Image quality,1,0,0
priority mode,0,1,0
size,12,6,5
quality photos,2,0,0
exposure,1,0,0
light,14,2,6
shots,20,13,5
card,1,0,2
light shots,2,0,0
video mode,2,2,0
flash,34,27,23
light photos,0,1,0
auto focus,1,0,0
battery charger,1,1,0
battery,9,10,5
price point,3,2,0
pictures,42,17,6
Case,0,0,1
noise,4,5,0
macro mode,1,0,0
LCD display,0,1,1
lens cap,0,0,1
optical viewfinder,0,1,0
AA battery,2,1,1
wide angle,2,0,4
video recording,3,1,0
ISO,1,6,3
shutter,4,0,1
video quality,3,0,0
image stabilization,3,0,1
price range,1,0,0
night shots,1,1,0
indoor shots,0,1,0
menu,0,1,0
angle lens,0,0,2
DSLR,6,3,4
light weight,1,0,0
manual control,2,0,0
lens cover,0,1,0
auto,4,2,1
Customer Service,1,1,0
iso,0,1,0
Viewfinder,1,0,0
screen,9,1,7
body,2,2,1
photos,22,10,23
battery pack,0,2,2
HD video,8,3,1
mode,7,3,4
battery life,7,7,4
features,27,5,4
view,1,0,0
shutter release,2,0,0
Battery,0,0,1
function,1,0,1
manual settings,1,0,2
light conditions,1,0,1
Image Stabilization,0,1,0
user manual,0,1,0
image,6,4,4
settings,12,5,3
Auto mode,2,1,0
video capability,2,0,1
LCD,5,1,0
image quality,9,0,3
rechargeable battery,0,1,2
Price,0,0,1
Video,3,1,1
sensor,1,0,0
manual mode,3,0,1
Lower light,0,1,0
external flash,1,0,0
color,6,0,7
Battery life,2,3,2
video,22,14,13
lens,9,13,4
button,3,2,1
Auto,1,0,2
zoom range,1,0,0
Manual focus,0,1,0
viewfinder,4,0,1
Features,2,0,0
Flash,1,0,1
memory card,1,0,1
Image stabilization,3,0,0
SD card,1,1,1
hd video,1,0,0
zoom,34,10,5
movie mode,1,0,0
Program mode,2,0,0
battery compartment,1,0,0
autofocus,1,0,1
SD CARD,0,1,0
white balance,0,0,1
Manual mode,1,0,1
video capture,1,4,0
money,9,2,2
quality video,1,0,0
film SLR,0,0,1
optical zoom,6,0,3
auto mode,2,2,3
light pictures,2,0,0
