feature,pos,neg,neutral
tech support,1,0,4
instructions,2,0,0
software,1,2,8
plain paper,0,0,1
part,0,0,3
customer service,0,1,2
scan,1,2,7
office,1,1,6
mac,0,0,4
multiple pages,1,0,0
pictures,1,0,3
mode,0,0,1
sleep mode,0,0,1
power cord,0,0,1
mac os,1,0,0
capability,1,0,2
paper,4,2,12
feature,0,0,4
firmware update,0,0,1
price,0,0,2
function,0,0,5
scanner,2,0,6
pdf file,0,0,1
connection,0,1,5
text,0,0,4
copy,0,0,5
wifi,0,0,3
cost,1,0,12
customer support,0,1,0
money,1,1,2
size,1,0,9
install,0,0,2
snow leopard,1,1,0
machine,1,1,0
setup,0,1,2
windows vista,0,0,1
touch screen,0,1,0
support,0,0,5
device,1,0,2
option,0,0,1
