feature,pos,neg,neutral
light situations,0,1,2
manual focus,1,1,2
shutter speed,1,2,15
software,2,2,4
movie,1,0,3
indoor pictures,0,0,1
lcd display,1,0,0
view finder,1,0,1
focus,3,2,22
lower light,0,0,3
lcd screen,0,0,12
resolution,0,0,10
quality pictures,1,0,2
card reader,0,1,1
price,4,0,8
kit lenses,1,0,0
noise reduction,0,0,1
options,3,1,4
focal length,0,0,1
neck strap,1,0,0
pics,1,0,11
case,1,0,2
lenses,1,2,24
zoom lens,3,0,9
professional photographer,1,0,4
af,1,0,3
screen protector,0,0,1
guide mode,4,0,3
priority mode,0,0,1
exposure,1,1,10
size,0,0,4
quality photos,0,0,1
light,11,5,23
shots,4,0,24
auto iso,1,5,18
card,0,1,6
light shots,0,0,2
video mode,0,0,1
flash,6,7,55
auto focus,2,1,11
battery charger,0,0,1
battery,1,2,15
pictures,20,8,32
price point,0,0,1
firmware update,0,0,2
noise,2,2,7
lens cap,0,0,2
wide angle,0,0,2
video recording,0,0,5
shutter,1,0,3
video quality,0,1,0
indoor shots,0,0,1
price range,1,0,2
night shots,0,0,1
menu,1,2,7
usb cable,0,0,9
dslr,15,2,37
kit lens,4,1,5
light weight,3,0,5
sd card,0,1,2
manual control,0,0,3
second battery,0,0,1
auto,2,4,19
iso,8,5,62
screen,3,1,11
body,3,0,14
photos,11,4,17
mode,5,3,29
battery life,4,2,2
features,10,2,15
view,0,1,7
spare battery,1,0,1
function,1,0,3
light conditions,0,1,1
manual settings,1,0,1
shutter priority,0,0,3
build quality,3,1,1
menu system,2,0,1
settings,5,1,20
image,2,1,10
higher resolution,0,0,1
video capability,1,0,2
image quality,8,2,7
prime lens,1,0,3
sdhc card,0,0,2
sensor,4,2,6
manual mode,0,0,2
quick shots,0,0,1
external flash,1,0,2
color,4,0,3
video,10,4,28
lens,18,8,77
lcd,1,1,4
button,0,1,11
quality image,1,0,0
program mode,0,0,3
viewfinder,1,1,5
memory card,0,1,7
focus system,1,0,0
iso settings,0,0,1
exposure compensation,0,1,2
hd video,1,0,5
light settings,0,0,1
video features,0,0,1
movie mode,1,3,3
zoom,3,0,7
autofocus,1,0,7
amateur photographer,0,0,2
white balance,2,1,8
money,2,4,18
focus point,0,0,1
entry level,6,0,13
auto mode,1,1,7
