feature,pos,neg,neutral
manual focus,2,0,1
shutter speed,1,0,0
software,1,0,0
view finder,0,1,0
focus,6,6,3
resolution,2,0,0
card reader,1,1,1
price,6,3,3
kit lenses,1,1,0
options,1,1,0
focal length,0,0,1
pics,1,0,0
case,1,2,0
lenses,6,2,6
autofocus system,2,0,0
AF,1,1,1
lens hood,0,3,0
shoot mode,0,1,0
size,2,0,1
exposure,1,1,0
light,4,2,0
Lens,2,1,1
shots,9,1,2
video mode,1,3,1
card,0,0,2
flash,4,2,2
auto focus,4,2,0
battery,0,4,1
pictures,19,3,5
price point,3,0,0
swivel screen,1,0,2
noise,3,4,3
lens cap,0,0,1
burst mode,1,1,0
ISO range,1,0,0
Wireless flash,1,0,0
wide angle,1,2,0
ISO,4,4,3
shutter,1,1,0
Macro mode,0,0,1
video quality,1,0,1
image stabilization,1,0,0
menu,3,0,0
angle lens,0,1,0
DSLR,9,2,3
kit lens,2,0,1
articulating screen,2,1,0
auto,2,0,0
iso,2,1,0
action shots,1,0,0
Noise,0,1,0
Viewfinder,1,0,0
screen,6,1,3
body,5,2,1
photos,10,2,6
mode,5,6,1
battery life,2,0,0
features,7,2,4
view,1,0,2
function,0,1,1
light conditions,1,1,0
build quality,2,0,0
Video mode,1,0,0
image,3,1,0
settings,2,0,1
video capability,1,0,0
LCD,1,2,1
image quality,4,0,0
Focus,1,0,0
Video,1,0,1
sensor,4,1,4
Software,1,0,0
Autofocus,1,0,0
quick shots,0,0,1
color,3,0,0
Battery life,1,0,0
Video capability,0,0,1
wireless flash,1,1,1
video,23,11,3
lens,12,15,13
button,3,5,1
Auto,1,1,0
quality image,1,0,0
zoom range,1,0,0
program mode,0,0,1
viewfinder,4,2,1
Flash,0,0,1
memory card,0,1,1
SD card,1,1,3
card slot,0,1,1
LOWER light,1,0,0
zoom,0,1,1
movie mode,1,0,1
autofocus,3,2,0
white balance,2,0,0
money,2,0,2
focus point,2,0,0
ISO settings,1,1,0
