feature,pos,neg,neutral
software,0,0,3
movie,0,0,2
Size,0,0,1
view finder,0,0,2
focus,0,0,18
Shutter,0,0,2
lower light,0,0,1
Image,0,0,1
LCD screen,0,0,15
Aspect ratio,0,0,1
resolution,0,0,5
SD Card,0,0,1
card reader,0,0,2
SCREEN,0,0,1
price,0,0,18
kit lenses,0,0,1
options,0,0,5
dSLR,0,0,8
pics,0,0,3
case,0,0,4
lenses,0,0,28
autofocus system,0,0,5
professional photographer,0,0,1
AF,0,0,12
screen protector,0,0,2
image sensor,0,0,2
FLASH,0,0,2
Card,0,0,2
Image quality,0,0,2
HD Video,0,0,2
exposure,0,0,7
size,0,0,11
light,0,0,12
battery grip,0,0,1
Lens,0,0,1
shutter lag,0,0,1
shots,0,0,25
card,0,0,1
video mode,0,0,5
light shots,0,0,1
flash,0,0,12
auto focus,0,0,4
battery,0,0,12
price point,0,0,7
pictures,0,0,31
Auto Focus,0,0,1
swivel screen,0,0,4
noise,0,0,5
LCD display,0,0,2
Menu,0,0,3
Shots,0,0,3
AF system,0,0,5
Build quality,0,0,1
Wireless flash,0,0,2
video recording,0,0,2
ISO,0,0,18
shutter,0,0,6
image stabilization,0,0,1
menu,0,0,4
user interface,0,0,1
DSLR,0,0,21
dslr,0,0,1
kit lens,0,0,5
light weight,0,0,1
articulating screen,0,0,5
second battery,0,0,1
auto,0,0,4
action shots,0,0,1
MODE,0,0,1
screen,0,0,24
body,0,0,46
photos,0,0,28
HD video,0,0,4
mode,0,0,16
battery life,0,0,4
features,0,0,42
view,0,0,11
shutter release,0,0,1
Articulating screen,0,0,5
IMAGE QUALITY,0,0,1
function,0,0,4
Battery,0,0,2
Image Quality,0,0,1
shutter priority,0,0,1
LCD Monitor,0,0,3
build quality,0,0,1
menu system,0,0,1
Video mode,0,0,1
settings,0,0,21
image,0,0,6
video capability,0,0,1
LCD,0,0,3
image quality,0,0,17
Price,0,0,1
Video,0,0,3
sensor,0,0,11
Autofocus,0,0,1
Sensor,0,0,1
color,0,0,3
external flash,0,0,1
LCD monitor,0,0,6
LCD Screen,0,0,1
Video capability,0,0,1
wireless flash,0,0,3
video,0,0,47
lens,0,0,40
AF point,0,0,1
button,0,0,11
Auto,0,0,1
USB cable,0,0,1
Function,0,0,3
viewfinder,0,0,11
Flash,0,0,3
LENS,0,0,1
Body,0,0,3
memory card,0,0,1
focus system,0,0,1
SD card,0,0,3
Focus system,0,0,1
card slot,0,0,2
light settings,0,0,1
Mode,0,0,2
Video quality,0,0,1
video features,0,0,1
zoom,0,0,11
movie mode,0,0,2
autofocus,0,0,10
View,0,0,1
BATTERY LIFE,0,0,1
amateur photographer,0,0,2
video capture,0,0,1
money,0,0,22
ISO settings,0,0,3
entry level,0,0,3
Movie mode,0,0,1
