feature,pos,neg,neutral
light situations,0,2,0
Pictures,1,0,0
AUTO mode,1,0,0
manual focus,1,1,0
shutter speed,1,0,0
software,3,0,1
movie,0,2,2
Electronic Viewfinder,1,0,0
view finder,2,0,2
focus,3,4,2
lower light,1,0,0
lcd screen,1,0,0
LCD screen,3,3,2
resolution,6,2,0
quality pictures,1,0,0
PICTURES,0,0,1
price,13,1,1
options,7,2,3
noise reduction,1,0,0
dSLR,2,1,0
focal length,0,1,0
neck strap,1,0,0
pics,4,0,0
case,3,3,2
lenses,5,3,4
zoom lens,2,0,0
professional photographer,4,0,3
image sensor,0,1,0
auto settings,2,0,0
Image quality,1,0,1
size,16,4,6
exposure,5,2,2
quality photos,2,0,0
light,21,9,11
battery grip,1,0,0
wrist strap,1,0,0
shutter lag,1,0,0
shots,24,6,13
light shots,1,0,0
card,1,0,2
video mode,1,1,1
flash,13,7,7
light photos,0,1,0
auto focus,1,0,0
FOCUS,1,0,0
battery,8,2,6
pictures,50,14,19
price point,2,0,0
swivel screen,3,0,1
editing software,0,0,1
noise,6,5,3
LCD display,2,0,2
optical viewfinder,4,2,4
Build quality,1,0,0
Movie,0,1,0
ISO range,1,0,0
wide angle,2,0,1
ISO,11,7,2
shutter,4,3,0
Light weight,0,0,1
video quality,2,0,0
price range,1,1,0
image stabilization,2,0,0
indoor shots,2,0,0
menu,2,2,1
angle lens,1,0,2
Optical Viewfinder,1,0,0
MOVIE,1,0,0
DSLR,14,3,13
dslr,1,2,0
light weight,0,0,2
kit lens,1,0,0
manual control,2,1,0
lens cover,2,0,0
articulating screen,1,1,0
auto,4,2,2
iso,1,0,0
customer service,1,0,0
screen,19,8,4
body,8,0,0
photos,25,9,11
View finder,0,1,0
mode,17,7,4
battery life,5,0,0
HD video,5,0,1
features,26,2,9
view,1,1,0
shutter release,0,1,0
Light,0,1,0
function,5,1,1
Battery,1,0,1
manual settings,3,0,0
light conditions,1,0,0
shutter priority,0,0,1
user manual,0,1,0
settings,19,6,7
image,5,2,3
Auto mode,2,0,1
Auto settings,0,0,1
video capability,1,0,1
LCD,5,3,2
AUTO,1,0,1
image quality,15,3,0
Focus,1,0,0
Video,1,0,0
Indoor pictures,1,0,0
sensor,14,0,5
manual mode,1,1,2
quick shots,0,1,0
color,11,5,3
external flash,2,0,1
Battery life,1,0,0
LCD monitor,0,0,1
Screen,0,0,2
wireless flash,1,0,0
video,23,7,8
lens,19,15,9
lcd,1,0,0
button,5,4,3
Auto,0,1,1
USB cable,1,0,0
Night shots,1,0,0
program mode,0,0,1
viewfinder,8,5,8
auto ISO,1,0,0
LENS,0,0,1
memory card,4,1,0
aspect ratio,1,0,0
exposure compensation,3,0,0
zoom,13,9,13
movie mode,1,0,1
autofocus,0,0,1
amateur photographer,3,1,0
Shutter lag,1,0,0
money,5,3,2
KIT LENS,0,0,1
ISO settings,2,0,0
Optical Zoom,1,0,1
ZOOM,1,1,0
film SLR,1,0,1
optical zoom,4,0,3
auto mode,2,1,2
