feature,pos,neg,neutral
light situations,2,0,0
manual focus,1,0,4
shutter speed,6,1,2
software,2,4,1
movie,2,0,3
view finder,1,0,2
focus,25,19,16
Shutter,1,0,1
focus ring,1,1,0
Image,2,1,2
LCD screen,4,0,2
resolution,8,1,2
card reader,0,1,2
PICTURES,0,0,1
price,28,3,6
kit lenses,2,0,0
Auto ISO,0,1,0
noise reduction,1,1,0
options,8,2,3
dSLR,2,1,1
focal length,1,1,0
neck strap,1,0,0
pics,7,1,3
case,3,2,2
shutter button,0,1,0
lenses,48,14,25
zoom lens,1,1,0
AF,24,10,3
image sensor,1,1,0
SENSOR,1,0,1
lens hood,0,0,1
Image quality,3,0,1
size,14,2,4
exposure,6,2,1
quality photos,1,0,0
light,37,13,3
battery grip,1,0,0
Lens,2,1,5
shots,28,17,16
card,12,9,9
video mode,2,0,0
flash,24,5,19
scene mode,0,0,1
Lenses,1,0,1
ViewFinder,1,0,0
auto focus,2,5,1
Zoom Lens,0,0,6
White Balance,1,0,0
MANUAL CONTROL,0,0,1
battery charger,1,0,0
battery,5,2,1
pictures,24,7,15
price point,0,0,1
firmware update,0,1,1
Auto Focus,1,0,0
swivel screen,0,1,0
editing software,1,0,0
noise,12,15,6
LCD display,1,0,1
AF system,1,0,1
lens cap,0,1,0
burst mode,1,1,0
AutoFocus,0,1,0
Movie,0,0,1
ISO range,1,2,0
video recording,2,1,3
wide angle,0,1,0
Optical viewfinder,1,0,0
ISO,42,15,12
shutter,12,2,9
Light weight,0,0,1
video quality,0,1,0
price range,2,0,1
night shots,0,1,0
image stabilization,1,0,0
menu,10,3,4
user interface,1,1,0
White balance,0,0,1
Auto focus,2,0,0
DSLR,10,0,11
Kit Lens,0,0,1
dslr,3,0,0
kit lens,1,2,2
light weight,0,0,1
articulating screen,0,1,0
auto,3,4,1
iso,9,2,0
VIDEO,0,1,0
Noise,1,0,0
customer service,1,0,1
screen,7,4,6
body,34,7,9
photos,26,9,12
mode,11,10,14
HD video,1,1,3
battery life,2,1,1
features,18,3,13
view,7,3,8
shutter release,0,2,0
Light,2,1,0
function,5,3,0
Battery,0,1,0
manual settings,1,0,0
light conditions,4,1,0
SHUTTER,0,0,1
shutter priority,0,0,1
menu system,1,0,0
build quality,3,0,0
settings,32,15,14
image,11,7,7
higher resolution,1,0,0
Color,0,1,0
Touch Screen,1,0,0
LCD,11,5,4
image quality,20,4,3
AUTO,1,1,0
prime lens,0,0,1
Price,0,1,0
Video,1,3,1
Focus,2,2,1
sensor,37,5,9
Software,1,0,0
Autofocus,1,2,1
manual mode,1,0,0
Battery Grip,0,1,0
color,10,3,3
external flash,2,0,0
Battery life,1,1,0
Film SLR,1,0,0
wireless flash,1,0,0
video,46,18,22
lens,48,19,30
button,7,3,10
Auto,4,1,2
Photos,0,0,1
Money,0,0,1
frame rate,0,1,0
Manual focus,2,0,0
program mode,1,0,0
Zoom,1,0,0
viewfinder,8,2,4
Features,0,0,3
Flash,1,0,0
Body,1,0,2
auto ISO,2,1,1
focus system,1,4,0
memory card,2,0,0
SD card,5,7,1
AUTO SETTINGS,0,0,1
aspect ratio,1,0,0
exposure compensation,1,1,1
card slot,0,1,0
light settings,0,1,0
zoom,9,2,5
autofocus,8,4,4
View,1,2,1
white balance,7,2,2
money,14,2,11
focus point,0,1,3
entry level,5,0,0
ISO settings,1,0,0
Movie mode,0,2,0
Battery charger,0,1,0
quality video,0,0,1
film SLR,0,0,1
auto mode,1,0,0
