feature,pos,neg,neutral
light situations,0,0,2
manual focus,0,0,1
shutter speed,0,0,4
movie,0,0,1
software,0,0,5
view finder,0,0,3
focus,0,0,24
Image,0,0,1
LCD screen,0,0,1
resolution,0,0,6
price,0,0,15
options,0,0,14
dSLR,0,0,2
focal length,0,0,1
pics,0,0,22
case,0,0,3
lenses,0,0,35
professional photographer,0,0,3
AF,0,0,13
AUTO ISO,0,0,1
CASE,0,0,1
Image quality,0,0,1
size,0,0,15
exposure,0,0,5
quality photos,0,0,1
light,0,0,25
battery grip,0,0,3
Lens,0,0,4
shots,0,0,21
card,0,0,21
video mode,0,0,4
flash,0,0,15
scene mode,0,0,1
Lenses,0,0,2
auto focus,0,0,4
Zoom Lens,0,0,2
White Balance,0,0,1
battery,0,0,4
pictures,0,0,38
Auto Focus,0,0,1
swivel screen,0,0,1
editing software,0,0,3
noise,0,0,20
ISO range,0,0,1
wide angle,0,0,3
ISO,0,0,25
shutter,0,0,11
Kit lens,0,0,1
Light weight,0,0,1
video quality,0,0,2
price range,0,0,1
night shots,0,0,1
menu,0,0,10
user interface,0,0,3
DSLR,0,0,14
Kit Lens,0,0,2
dslr,0,0,2
kit lens,0,0,13
sd card,0,0,1
manual control,0,0,1
articulating screen,0,0,2
auto,0,0,5
Customer Service,0,0,1
Firmware update,0,0,1
iso,0,0,1
customer service,0,0,3
screen,0,0,12
body,0,0,19
photos,0,0,28
mode,0,0,8
battery life,0,0,2
HD video,0,0,3
features,0,0,16
view,0,0,6
shutter release,0,0,5
Light,0,0,2
function,0,0,3
Auto Mode,0,0,1
build quality,0,0,3
user manual,0,0,1
settings,0,0,18
image,0,0,9
Touch Screen,0,0,1
video capability,0,0,2
LCD,0,0,5
image quality,0,0,9
AUTO,0,0,1
Price,0,0,1
Video,0,0,4
Focus,0,0,2
sensor,0,0,20
Software,0,0,1
manual mode,0,0,1
Autofocus,0,0,4
Battery Grip,0,0,1
Shutter speed,0,0,1
external flash,0,0,1
color,0,0,4
Screen,0,0,1
video,0,0,55
lens,0,0,51
button,0,0,3
Auto,0,0,5
Photos,0,0,2
frame rate,0,0,1
zoom range,0,0,1
Zoom,0,0,2
Features,0,0,3
viewfinder,0,0,5
Body,0,0,1
memory card,0,0,2
SD card,0,0,6
aspect ratio,0,0,1
exposure compensation,0,0,4
card slot,0,0,1
hd video,0,0,1
indoor photos,0,0,1
Video quality,0,0,1
zoom,0,0,6
autofocus,0,0,9
View,0,0,1
amateur photographer,0,0,1
white balance,0,0,1
Manual mode,0,0,1
video capture,0,0,1
money,0,0,10
ISO settings,0,0,2
entry level,0,0,2
Movie mode,0,0,1
light pictures,0,0,1
