feature,pos,neg,neutral
tech support,0,0,1
instructions,0,0,2
software,0,0,7
part,0,0,1
scan,0,3,9
office,2,0,1
pictures,1,0,3
mode,0,0,1
power cord,0,0,1
capability,0,0,3
technical support,0,0,1
feature,4,0,0
paper,0,0,7
price,1,0,5
function,0,0,2
scanner,1,0,6
connection,1,0,1
copy,0,0,10
text,0,0,1
legal size,0,0,1
memory card,0,0,3
paper tray,0,0,1
image,0,0,1
cost,0,0,1
operating system,0,0,1
regular paper,0,0,1
paper jam,0,0,1
control panel,0,1,2
customer support,0,0,2
size,0,0,1
install,0,0,1
machine,0,1,11
setup,3,0,2
touch screen,0,1,0
paper size,1,0,0
support,0,5,2
device,1,0,2
option,0,0,4
