feature,pos,neg,neutral
Pictures,0,0,6
light situations,0,0,1
manual focus,0,0,29
shutter speed,0,0,18
movie,0,0,3
software,0,0,10
Electronic Viewfinder,0,0,1
view finder,0,0,4
focus,0,0,102
lower light,0,0,2
focus ring,0,0,23
Image,0,0,3
resolution,0,0,2
Button,0,0,2
price,0,0,15
Auto ISO,0,0,3
options,0,0,4
focal length,0,0,6
dSLR,0,0,2
neck strap,0,0,1
pics,0,0,4
case,0,0,5
shutter button,0,0,4
lenses,0,0,16
zoom lens,0,0,1
professional photographer,0,0,4
AF,0,0,10
lens hood,0,0,1
Exposure,0,0,1
Image quality,0,0,1
exposure,0,0,16
size,0,0,12
light,0,0,32
Lens,0,0,5
wrist strap,0,0,1
shutter lag,0,0,1
shots,0,0,33
card,0,0,6
light shots,0,0,1
sensor size,0,0,2
flash,0,0,21
auto focus,0,0,13
White Balance,0,0,1
battery,0,0,13
pictures,0,0,26
price point,0,0,1
Case,0,0,1
firmware update,0,0,10
noise,0,0,13
electronic viewfinder,0,0,5
macro mode,0,0,3
Menu,0,0,1
lens cap,0,0,2
burst mode,0,0,1
optical viewfinder,0,0,10
wide angle,0,0,3
Optical viewfinder,0,0,1
ISO,0,0,35
shutter,0,0,34
Macro mode,0,0,1
video quality,0,0,1
night shots,0,0,1
image stabilization,0,0,3
menu,0,0,13
user interface,0,0,2
angle lens,0,0,4
Auto focus,0,0,1
DSLR,0,0,19
dslr,0,0,1
manual control,0,0,2
lens cover,0,0,2
macro shots,0,0,2
auto,0,0,5
iso,0,0,3
action shots,0,0,2
Noise,0,0,1
MOVIE mode,0,0,1
Viewfinder,0,0,2
screen,0,0,6
body,0,0,7
photos,0,0,16
View finder,0,0,1
mode,0,0,24
battery life,0,0,3
features,0,0,3
shutter release,0,0,7
view,0,0,4
spare battery,0,0,2
Light,0,0,1
function,0,0,4
manual settings,0,0,1
focus mode,0,0,3
shutter priority,0,0,2
build quality,0,0,6
menu system,0,0,3
user manual,0,0,1
image,0,0,25
settings,0,0,11
SDHC card,0,0,1
Build Quality,0,0,1
LCD,0,0,8
image quality,0,0,23
AUTO,0,0,1
prime lens,0,0,1
Price,0,0,1
Focus,0,0,2
sensor,0,0,16
manual mode,0,0,2
Autofocus,0,0,1
external flash,0,0,1
color,0,0,9
Battery life,0,0,2
video,0,0,4
lens,0,0,42
AF point,0,0,1
button,0,0,40
Photos,0,0,1
Auto,0,0,4
Manual focus,0,0,3
View Finder,0,0,2
program mode,0,0,1
viewfinder,0,0,24
Flash,0,0,1
auto ISO,0,0,1
memory card,0,0,2
focus system,0,0,2
SD card,0,0,3
exposure compensation,0,0,5
Mode,0,0,2
zoom,0,0,14
autofocus,0,0,3
white balance,0,0,5
Manual mode,0,0,1
money,0,0,6
focus point,0,0,11
ISO settings,0,0,2
Manual Focus,0,0,2
ZOOM,0,0,1
light pictures,0,0,1
