feature,pos,neg,neutral
color,2,0,0
screen,0,2,1
focus,2,2,3
video,2,0,2
lens,0,1,1
battery,2,0,1
LCD screen,0,1,0
photos,0,2,2
pictures,8,6,3
button,2,0,2
shutter release,0,0,1
price,3,3,0
options,1,0,0
noise reduction,0,1,1
viewfinder,0,2,0
Flash,0,1,0
pics,1,0,0
case,0,0,1
memory card,0,0,1
SD card,0,0,1
exposure compensation,1,0,0
view screen,0,0,1
shutter,0,2,0
zoom,2,0,0
autofocus,0,1,2
image quality,1,0,0
rechargeable battery,0,0,1
money,2,1,1
size,0,0,2
DSLR,0,2,0
light,1,0,0
entry level,0,0,1
shots,3,2,0
card,1,0,0
video mode,1,0,1
flash,1,3,0
