feature,pos,neg,neutral
instructions,1,0,3
software,0,2,10
part,0,1,0
customer service,0,0,1
scan,0,0,14
software install,0,0,1
duplex,1,0,8
size paper,0,0,1
office,1,0,3
mac,1,0,2
mode,1,0,2
technical support,0,0,1
capability,0,0,2
paper,1,5,16
feature,2,1,4
firmware update,1,0,1
toner,2,2,18
replace toner,0,0,1
price,0,0,2
function,1,0,1
scanner,0,0,1
connection,0,1,4
copy,0,0,4
text,0,3,0
legal size,0,0,2
image,1,0,3
cost,0,0,5
windows xp,0,1,0
operating system,1,0,0
error message,0,0,1
price range,0,0,1
customer support,0,1,2
control panel,1,0,0
toner cartridges,0,0,2
starter cartridges,0,0,1
size,0,0,2
money,2,0,1
install,0,1,3
machine,3,4,30
setup,1,1,4
touch screen,1,0,2
support,0,0,4
device,0,0,2
option,0,0,1
