feature,pos,neg,neutral
shutter speed,0,2,0
movie,1,0,0
software,2,1,1
action shots,0,1,0
focus,2,2,1
screen,0,2,1
lcd screen,0,0,1
body,0,0,1
LCD screen,0,1,0
photos,2,5,1
resolution,2,0,1
quality pictures,0,0,1
mode,1,0,2
HD video,1,0,0
features,1,0,0
view,0,0,1
price,1,0,1
Light,0,1,0
function,1,2,1
options,1,0,0
case,1,0,1
settings,0,3,1
image,2,3,1
AUTO,1,1,0
image quality,1,1,0
size,1,1,1
light,4,0,0
sensor,0,0,1
shutter lag,0,0,1
shots,5,1,3
card,3,0,4
flash,2,5,0
color,1,0,0
video,2,4,1
lens,1,3,2
pictures,10,3,1
button,0,3,0
Night shots,0,1,0
zoom range,0,1,0
noise,1,0,2
Zoom,0,1,0
battery door,0,1,1
memory card,0,1,2
SD card,0,0,1
wide angle,0,0,1
zoom,4,4,2
angle lens,0,0,1
white balance,1,0,0
money,1,0,1
auto mode,1,0,0
