feature,pos,neg,neutral
second battery,0,0,1
movie,0,0,1
Battery life,0,0,1
screen,0,0,5
focus,0,0,2
video,0,0,12
battery charger,0,0,1
lens,0,0,2
battery,0,0,5
photos,0,0,1
resolution,0,0,1
pictures,0,0,10
mode,0,0,6
button,0,0,1
features,0,0,1
shutter release,0,0,1
function,0,0,2
noise,0,0,1
options,0,0,1
SD card,0,0,1
panorama mode,0,0,1
settings,0,0,2
shutter button,0,0,3
wide angle,0,0,1
video recording,0,0,3
view screen,0,0,1
battery compartment,0,0,1
menu,0,0,1
angle lens,0,0,1
size,0,0,2
light,0,0,1
Video,0,0,1
touch screen,0,0,4
quality video,0,0,1
shots,0,0,2
flash,0,0,1
