feature,pos,neg,neutral
Pictures,0,1,0
auto,2,1,0
shutter speed,3,1,0
movie,1,0,1
software,2,0,1
customer service,0,1,0
screen,3,2,1
focus,1,2,4
LCD screen,1,0,0
photos,5,5,3
resolution,2,0,2
HD video,2,1,3
mode,3,1,3
battery life,0,1,0
features,6,1,2
Wide angle,1,0,0
shutter release,0,1,1
view,1,1,0
spare battery,1,0,1
price,1,0,1
Battery,0,1,0
function,2,0,0
options,0,0,2
noise reduction,0,1,0
case,4,3,1
menu system,1,0,0
settings,1,1,3
shutter button,1,0,0
image,3,1,1
higher resolution,1,0,0
professional photographer,0,0,1
PRICE,0,1,0
SIZE,1,0,0
screen protector,0,0,1
underwater pictures,1,0,0
video capability,1,0,0
LCD,0,1,0
Card,0,1,0
image quality,0,0,1
size,3,0,1
exposure,4,0,3
light,8,0,0
Price,1,0,0
touch screen,6,2,0
sensor,1,3,0
wrist strap,0,0,1
shutter lag,0,0,1
shots,1,3,0
memory stick,0,0,1
video mode,0,1,1
manual mode,0,0,1
card,1,0,0
flash,0,1,3
Shutter speed,1,0,0
Battery life,0,1,0
color,2,2,1
video,12,7,6
battery charger,0,2,3
battery,8,9,8
lens,1,3,5
pictures,11,4,3
button,3,1,2
USB cable,0,0,1
firmware update,0,1,1
noise,2,2,2
Zoom,0,0,1
memory card,2,0,0
SD card,0,1,0
panorama mode,1,1,0
wide angle,1,0,0
video recording,0,1,0
ISO,0,2,0
shutter,0,0,2
Video quality,1,0,0
indoor photos,0,2,1
zoom,1,3,2
price range,1,0,1
menu,2,0,0
battery compartment,0,1,1
user interface,0,1,0
angle lens,1,0,0
white balance,2,0,0
money,0,2,0
underwater photos,1,1,0
optical zoom,1,0,0
light pictures,1,0,0
lens cover,1,1,0
