feature,pos,neg,neutral
quick shots,0,0,1
auto,0,0,1
movie,0,0,2
software,0,0,3
indoor pictures,0,0,1
screen,0,0,3
focus,0,0,3
video,0,0,9
battery,0,0,4
LCD screen,0,0,1
photos,0,0,3
battery pack,0,0,1
pictures,0,0,22
mode,0,0,3
button,0,0,3
features,0,0,1
spare battery,0,0,1
Battery,0,0,2
noise,0,0,1
Auto Mode,0,0,2
light conditions,0,0,1
battery door,0,0,1
case,0,0,1
memory card,0,0,2
image,0,0,3
settings,0,0,5
zoom,0,0,7
menu,0,0,1
Image quality,0,0,2
image quality,0,0,4
size,0,0,3
money,0,0,1
light,0,0,11
DSLR,0,0,3
Focus,0,0,1
touch screen,0,0,2
Action shots,0,0,1
sensor,0,0,1
shots,0,0,4
auto mode,0,0,2
light pictures,0,0,2
lens cover,0,0,1
