feature,pos,neg,neutral
manual focus,0,0,1
software,0,0,3
movie,0,0,1
focus,0,0,4
screen,0,0,3
photos,0,0,14
resolution,0,0,2
quality pictures,0,0,1
SD Card,0,0,1
mode,0,0,6
features,0,0,2
price,0,0,3
options,0,0,3
pics,0,0,6
menu system,0,0,1
image,0,0,3
settings,0,0,3
shutter button,0,0,1
zoom lens,0,0,1
professional photographer,0,0,1
LCD,0,0,1
CASE,0,0,1
Card slot,0,0,1
size,0,0,1
light,0,0,5
Video,0,0,1
Software,0,0,1
shots,0,0,7
flash,0,0,3
auto focus,0,0,1
color,0,0,1
Screen,0,0,1
video,0,0,3
lens,0,0,2
battery,0,0,2
pictures,0,0,11
Auto,0,0,2
button,0,0,1
electronic viewfinder,0,0,1
Zoom,0,0,1
Flash,0,0,1
SD card,0,0,1
panorama mode,0,0,1
Movie,0,0,1
card slot,0,0,1
indoor photos,0,0,1
zoom,0,0,13
price range,0,0,1
usb cable,0,0,1
amateur photographer,0,0,1
Automatic mode,0,0,1
DSLR,0,0,2
quality video,0,0,1
sd card,0,0,2
optical zoom,0,0,1
