feature,pos,neg,neutral
auto,0,0,2
view finder,0,0,3
focus,0,0,3
screen,0,0,5
LCD screen,0,0,1
photos,0,0,13
resolution,0,0,1
mode,0,0,5
HD video,0,0,1
battery life,0,0,1
features,0,0,6
view,0,0,3
price,0,0,6
options,0,0,4
manual settings,0,0,1
pics,0,0,3
case,0,0,1
settings,0,0,5
Auto mode,0,0,1
image sensor,0,0,1
LCD,0,0,3
image quality,0,0,1
exposure,0,0,1
size,0,0,6
quality photos,0,0,1
light,0,0,3
sensor,0,0,4
shots,0,0,8
flash,0,0,3
HD camcorder,0,0,1
color,0,0,6
video,0,0,1
battery,0,0,2
lens,0,0,2
pictures,0,0,8
price point,0,0,1
Auto,0,0,2
button,0,0,3
noise,0,0,3
viewfinder,0,0,3
Features,0,0,1
optical viewfinder,0,0,3
memory card,0,0,1
SD card,0,0,2
wide angle,0,0,1
ISO,0,0,7
shutter,0,0,1
Mode,0,0,1
zoom,0,0,2
Program mode,0,0,1
price range,0,0,3
image stabilization,0,0,1
autofocus,0,0,1
DSLR,0,0,1
entry level,0,0,1
ISO settings,0,0,1
underwater photos,0,0,1
ZOOM,0,0,1
Optical Zoom,0,0,1
kit lens,0,0,1
film SLR,0,0,1
manual control,0,0,1
