feature,pos,neg,neutral
Pictures,1,0,0
screen,1,0,0
focus,2,1,1
video,4,4,2
lens,2,0,0
body,0,1,0
photos,1,0,1
pictures,9,6,1
button,1,2,2
features,3,1,0
outdoor shots,0,1,0
price,1,0,2
noise,1,0,0
macro mode,0,1,0
pics,1,0,0
Movie,1,0,0
shutter button,1,0,0
settings,0,1,0
ISO,1,0,0
shutter,1,0,0
movie mode,1,0,0
zoom,0,1,0
price range,1,0,0
LCD,1,0,0
menu,0,1,0
autofocus,0,2,0
image quality,0,1,0
light,2,0,0
DSLR,1,0,0
quality video,1,0,0
wrist strap,0,1,0
video mode,0,1,0
light pictures,0,0,1
auto mode,0,1,0
flash,1,2,1
