feature,pos,neg,neutral
light situations,0,1,0
manual focus,0,0,1
auto,0,0,5
shutter speed,0,0,2
movie,1,0,4
software,1,0,0
iso,2,1,2
action shots,0,0,1
lcd display,0,0,1
view finder,0,0,1
customer service,0,0,1
focus,1,0,7
screen,7,0,2
lower light,0,0,1
lcd screen,1,0,1
body,0,0,2
photos,6,1,9
resolution,2,0,1
video clips,0,0,1
mode,3,1,10
battery life,2,0,2
features,2,0,6
view,0,1,7
price,4,0,4
function,1,1,1
options,0,0,2
noise reduction,1,0,0
manual settings,1,0,1
case,0,0,1
settings,3,0,12
image,5,2,8
higher resolution,0,0,1
lenses,3,1,9
zoom lens,0,0,3
autofocus system,1,0,1
af,0,0,1
image sensor,0,0,1
auto settings,1,0,0
image quality,1,1,3
prime lens,1,0,1
priority mode,0,0,1
size,0,0,1
exposure,1,0,0
light,1,0,1
sdhc card,0,0,3
battery grip,1,2,0
sensor,0,1,3
shots,7,2,4
card,0,0,7
manual mode,0,0,2
video mode,0,0,1
flash,1,1,2
color,1,0,1
auto focus,1,0,0
wireless flash,0,0,3
video,6,1,26
lens,8,2,25
lcd,2,0,6
battery,0,0,1
pictures,14,3,9
outdoor shots,0,0,1
frame rate,0,0,2
noise,0,1,3
viewfinder,1,1,5
burst mode,0,0,1
memory card,1,0,4
hd video,2,0,3
video recording,2,0,1
wide angle,1,0,1
shutter,0,0,2
video quality,0,0,1
zoom,5,0,7
movie mode,0,0,2
price range,1,0,1
image stabilization,2,0,1
indoor shots,1,0,0
menu,1,2,2
autofocus,0,1,5
amateur photographer,0,0,2
angle lens,1,0,0
white balance,0,0,1
video capture,0,0,1
money,3,1,2
lcd monitor,0,0,2
entry level,1,0,0
dslr,2,1,14
kit lens,7,1,6
sd card,0,0,2
light pictures,0,0,1
auto mode,0,0,2
