feature,pos,neg,neutral
manual focus,1,0,0
shutter speed,0,0,1
screen,6,1,2
focus,3,3,1
Macro shots,1,0,0
Image,1,0,0
body,0,0,1
photos,0,1,1
mode,2,1,1
HD video,2,0,0
battery life,0,1,0
features,7,1,2
view,1,0,0
price,3,0,0
function,0,1,0
options,1,0,1
manual settings,1,0,0
shutter priority,0,0,1
pics,1,0,2
settings,3,0,1
image,1,0,0
lenses,0,1,0
Color,1,0,0
Auto mode,0,0,2
Touch screen,2,0,0
image quality,1,0,0
HD Video,0,1,0
size,1,0,0
exposure,0,0,3
light,5,1,2
Focus,1,0,0
Video,1,0,0
touch screen,8,1,3
sensor,2,0,0
shots,3,0,4
light shots,1,0,0
card,0,2,0
manual mode,1,0,0
Shutter Priority,1,0,0
flash,2,0,0
color,0,1,0
HD movie,1,0,0
video,5,0,6
lens,4,0,1
battery,1,3,2
pictures,6,4,5
button,5,1,3
program mode,1,0,0
editing software,0,1,0
noise,0,1,0
viewfinder,1,1,0
Features,0,0,1
battery door,3,0,0
panorama mode,2,0,0
card slot,0,1,0
light settings,1,0,0
shutter,0,1,0
video quality,2,0,0
zoom,1,1,2
price range,0,1,0
image stabilization,1,0,0
menu,1,0,0
angle lens,1,0,0
video capture,0,0,1
DSLR,0,1,1
light weight,1,0,0
auto mode,1,0,1
lens cover,0,1,0
