feature,pos,neg,neutral
Pictures,1,0,0
manual focus,1,0,0
Options,1,0,0
color,3,1,1
battery,1,0,3
lens,0,0,1
photos,2,0,2
pictures,1,1,3
SD Card,1,0,0
battery life,0,0,1
Photos,1,0,0
button,1,0,5
mode,1,0,0
features,0,1,1
function,0,0,2
noise reduction,1,0,0
focus mode,1,0,0
Flash,1,0,0
pics,0,0,2
burst mode,1,0,0
memory card,1,0,1
case,1,0,0
menu system,1,0,1
aspect ratio,0,0,1
image,0,0,1
Memory Card,1,0,0
ISO,1,0,0
zoom,3,1,0
movie mode,1,0,0
LCD,1,1,1
menu,0,1,0
image quality,5,0,0
money,1,0,0
size,2,0,0
Software,0,0,1
Lens,1,0,0
manual control,1,0,0
card,1,0,1
flash,2,0,2
