feature,pos,neg,neutral
manual focus,0,0,1
auto,0,0,5
shutter speed,0,0,3
af system,1,0,0
iso,2,0,4
automatic settings,0,0,2
action shots,0,0,1
screen,2,0,4
focus,0,0,2
body,2,0,7
resolution,0,0,2
photos,3,1,4
quality pictures,1,0,1
battery life,1,1,1
mode,0,0,1
features,2,1,8
view,0,0,1
price,4,0,7
kit lenses,0,0,1
options,1,0,2
manual settings,2,0,1
pics,0,0,1
menu system,3,0,0
build quality,0,0,1
case,0,0,1
shutter button,0,0,1
settings,3,0,8
lenses,2,2,6
zoom lens,0,0,3
professional photographer,0,0,2
af,0,0,1
auto settings,1,0,1
image quality,3,1,0
size,5,0,1
exposure,0,0,2
light,1,1,3
sensor,1,4,5
shutter lag,1,0,0
shots,6,0,2
card,0,0,3
flash,0,0,10
color,2,0,0
video,1,1,6
lens,7,0,8
lcd,0,0,2
battery,1,0,6
pictures,8,1,7
price point,0,0,1
button,0,0,3
outdoor shots,1,0,0
zoom range,0,0,1
viewfinder,0,0,1
memory card,0,0,2
exposure compensation,0,0,1
hd video,1,0,2
video recording,0,0,1
video features,0,0,1
video quality,2,0,0
movie mode,0,0,4
zoom,1,0,2
indoor shots,0,0,1
autofocus,1,0,1
menu,0,0,6
user interface,0,0,1
white balance,1,0,2
money,5,0,7
entry level,1,0,3
dslr,8,2,20
kit lens,2,0,6
light weight,0,0,3
sd card,1,0,2
